,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches,-9999
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,32.0,1087,1440,75.5,18371,6874,560,622,90.0,419,544,77.0,98,217,45.2,2,1.4,+0.6,19,50,36,8,94,Matches,774cf58b
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,33.1,1281,1555,82.4,27665,9529,339,377,89.9,740,828,89.4,187,303,61.7,0,0.8,-0.8,8,81,6,0,90,Matches,32c2d95f
3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,27.4,1532,1671,91.7,28312,5052,616,659,93.5,708,746,94.9,184,214,86.0,0,1.1,-1.1,15,77,13,1,81,Matches,82464ce3
4,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,32.8,1334,1635,81.6,25609,6758,534,603,88.6,566,644,87.9,205,308,66.6,2,2.9,-0.9,30,127,19,6,137,Matches,31626657
5,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,2000,0.5,2,6,33.3,24,0,1,2,50.0,1,3,33.3,0,0,,0,0.0,0.0,0,0,0,0,0,Matches,469d3d84
6,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,8.1,90,139,64.7,1296,330,54,78,69.2,25,38,65.8,5,10,50.0,1,1.1,-0.1,8,7,6,0,13,Matches,cadd666a
7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,2003,1.1,8,10,80.0,100,22,4,6,66.7,4,4,100.0,0,0,,0,0.0,0.0,1,1,1,0,1,Matches,0e46fa2f
8,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,34.3,500,694,72.0,7714,1755,298,391,76.2,139,201,69.2,44,55,80.0,4,3.6,+0.4,35,37,28,4,61,Matches,f586779e
9,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,6.2,194,220,88.2,4320,1153,42,46,91.3,115,124,92.7,36,48,75.0,0,0.0,0.0,0,8,0,0,9,Matches,1f462f95
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,28.2,1812,2006,90.3,37942,11558,567,609,93.1,940,996,94.4,280,363,77.1,0,0.4,-0.4,6,122,6,0,88,Matches,b96b595c
11,Ragnar Ache,de GER,MFFW,Eint Frankfurt,de Bundesliga,23,1998,2.9,42,71,59.2,607,127,22,35,62.9,17,27,63.0,1,3,33.3,1,0.3,+0.7,2,3,2,2,3,Matches,dc38e3bc
12,Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,19,2002,0.1,3,5,60.0,49,0,1,1,100.0,2,2,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches,1e93fc5d
13,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29,1991,25.1,1564,1971,79.4,32212,11965,591,635,93.1,682,803,84.9,275,474,58.0,3,3.0,0.0,41,103,42,23,123,Matches,81442ecb
14,Che Adams,sct SCO,FW,Southampton,eng Premier League,25,1996,22.7,337,484,69.6,5275,1087,187,240,77.9,101,135,74.8,30,53,56.6,3,2.6,+0.4,26,22,13,1,35,Matches,f2bf1b0f
