,,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches,-9999
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,32.0,1440,1102,338,27,2,173,19,45,0,0,0,0,847,307,286,157,929,29,311,2,1087,7,28,52,56,Matches,774cf58b
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,33.1,1555,1455,100,81,0,188,55,2,0,0,0,0,1167,125,263,1050,402,49,14,4,1281,5,32,41,29,Matches,32c2d95f
3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,27.4,1671,1651,20,16,1,220,22,10,0,0,0,0,1440,129,102,132,1454,52,4,8,1532,2,16,34,23,Matches,82464ce3
4,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,32.8,1635,1607,28,21,6,311,49,26,1,0,0,0,1232,185,218,147,1441,24,5,5,1334,7,18,60,55,Matches,31626657
5,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,2000,0.5,6,6,0,0,0,3,0,1,0,0,0,0,5,0,1,6,0,0,0,0,2,0,0,2,0,Matches,469d3d84
6,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,8.1,139,130,9,1,1,42,2,2,0,0,0,0,87,32,20,27,76,19,0,3,90,2,5,5,9,Matches,cadd666a
7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,2003,1.1,10,10,0,0,0,4,0,1,0,0,0,0,9,1,0,3,7,0,0,0,8,0,0,1,0,Matches,0e46fa2f
8,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,34.3,694,626,68,6,5,203,11,24,0,0,0,0,440,150,104,63,482,66,1,24,500,0,10,35,24,Matches,f586779e
9,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,6.2,220,211,9,5,0,10,7,0,0,0,0,0,175,15,30,181,22,11,2,1,194,1,1,2,1,Matches,1f462f95
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,28.2,2006,1935,71,62,2,168,75,1,0,0,0,0,1489,158,359,1525,343,78,1,8,1812,1,22,24,12,Matches,b96b595c
11,Ragnar Ache,de GER,MFFW,Eint Frankfurt,de Bundesliga,23,1998,2.9,71,69,2,0,0,26,1,6,0,0,0,0,35,18,18,12,35,5,2,1,42,1,2,4,5,Matches,dc38e3bc
12,Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,19,2002,0.1,5,5,0,0,0,2,0,0,0,0,0,0,4,1,0,0,5,0,0,0,3,0,1,0,1,Matches,1e93fc5d
13,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29,1991,25.1,1971,1640,331,60,3,167,106,124,40,0,30,1,1157,310,504,1468,193,47,231,5,1564,6,29,64,41,Matches,81442ecb
14,Che Adams,sct SCO,FW,Southampton,eng Premier League,25,1996,22.7,484,468,16,0,4,137,10,11,0,0,0,0,307,99,78,44,350,28,1,16,337,2,10,26,31,Matches,f2bf1b0f
15,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,22,1999,15.0,914,874,40,25,1,151,6,3,0,0,0,0,717,86,111,130,702,43,14,4,792,4,9,24,22,Matches,2b09d998
16,Sargis Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,28,1993,3.7,98,93,5,0,0,27,0,6,0,0,0,0,66,13,19,19,59,7,5,3,73,0,3,5,7,Matches,22919e97
17,Martin Adeline,fr FRA,MFFW,Reims,fr Ligue 1,17,2003,3.9,146,140,6,2,0,49,1,2,4,0,4,0,116,10,20,25,116,3,0,0,107,1,8,12,8,Matches,7587446d
18,Amine Adli,fr FRA,FWMF,Leverkusen,de Bundesliga,21,2000,14.0,520,501,19,2,1,115,5,26,2,0,0,0,418,74,28,419,60,12,10,6,392,5,7,39,20,Matches,dcfb17f4
19,Yacine Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,21,2000,25.1,1237,1110,127,43,3,197,91,39,67,39,16,1,814,141,282,126,1054,23,10,4,910,7,31,60,39,Matches,26777636
20,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,24,1997,4.9,243,228,15,7,0,43,10,2,7,0,4,0,199,25,19,37,193,6,1,1,216,1,1,5,4,Matches,f9c927de
21,Felix Afena-Gyan,gh GHA,FWMF,Roma,it Serie A,18,2003,7.4,164,155,9,1,0,25,4,8,0,0,0,0,128,22,14,10,140,1,6,3,125,0,2,10,10,Matches,0154d290
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,25,1996,18.0,788,607,181,7,0,78,17,39,1,0,0,0,377,178,233,37,505,53,173,2,563,3,20,31,28,Matches,355c883a
23,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,20,2000,4.0,82,48,34,8,0,3,1,0,0,0,0,0,48,1,33,30,36,0,0,10,61,0,4,0,0,Matches,a2c1a8d3
24,Lucien Agoume,fr FRA,MF,Brest,fr Ligue 1,19,2002,20.8,981,947,34,27,1,154,31,4,1,0,0,1,722,110,149,121,794,37,0,4,828,3,11,31,24,Matches,8bc8829a
25,Kevin Agudelo,co COL,MFFW,Spezia,it Serie A,22,1998,13.7,385,373,12,1,0,121,7,13,4,3,1,0,289,52,44,321,29,17,4,1,284,2,10,20,18,Matches,46fa7204
26,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25,1996,30.4,2174,2107,67,62,1,186,99,2,0,0,0,0,1793,98,283,1842,222,59,5,4,1956,3,23,37,16,Matches,288e1e13
27,Sergio Agüero,ar ARG,FW,Barcelona,es La Liga,33,1988,1.7,43,41,2,0,1,15,0,4,0,0,0,0,24,9,10,5,31,3,0,1,31,0,0,0,0,Matches,4d034881
28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,28,1993,23.8,1715,1437,278,36,3,163,34,52,1,0,1,0,1096,345,274,27,1369,42,241,10,1438,6,20,50,39,Matches,3dd738a1
29,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,es La Liga,21,2000,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,Matches,93b054dc
30,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,19,2002,0.7,34,33,1,1,0,7,2,0,0,0,0,0,29,2,3,5,28,1,0,0,30,0,1,1,0,Matches,a6c58494
31,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,fr Ligue 1,22,1999,15.0,869,836,33,22,1,101,28,7,0,0,0,0,696,64,109,133,664,41,11,1,770,1,14,11,9,Matches,eab957a3
32,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27,1994,11.2,411,401,10,10,0,58,4,4,0,0,0,0,321,49,41,288,91,19,0,3,348,0,6,11,10,Matches,48b28bfd
33,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25,1995,29.3,1523,1487,36,16,2,162,36,2,0,0,0,0,1115,115,293,251,1115,92,20,10,1263,4,31,40,15,Matches,18abe173
34,Ola Aina,ng NGA,DF,Torino,it Serie A,24,1996,16.0,757,606,151,9,2,85,9,30,0,0,0,0,407,143,207,151,421,29,142,3,546,4,11,23,40,Matches,246d153b
35,Rayan Aït Nouri,fr FRA,DF,Wolves,eng Premier League,20,2001,20.3,1003,788,215,16,1,135,36,56,29,8,17,2,557,215,231,672,108,42,170,0,754,2,28,33,31,Matches,9b398aea
36,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,23,1998,22.2,873,721,152,8,0,138,15,12,0,0,0,0,449,217,207,42,577,63,144,2,629,4,23,33,40,Matches,a8c0acb7
37,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,27,1994,30.4,909,888,21,0,1,292,17,18,0,0,0,0,507,244,158,519,169,62,2,32,670,1,13,48,32,Matches,462475ed
38,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,26,1995,25.1,1986,1922,64,58,0,199,69,2,0,0,0,0,1633,121,232,393,1489,64,6,1,1801,3,22,26,15,Matches,89ac64a6
39,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,28,1993,20.5,849,685,164,18,1,117,20,32,0,0,0,0,448,181,220,34,574,62,146,3,630,2,30,25,30,Matches,f2a68b97
40,Marley Aké,fr FRA,MFFW,Juventus,it Serie A,20,2001,0.9,17,16,1,0,0,4,1,1,0,0,0,0,13,2,2,2,14,0,1,0,13,0,0,3,0,Matches,414e1f69
41,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,26,1995,10.3,855,813,42,16,0,71,5,0,0,0,0,0,716,67,72,621,155,28,26,2,780,0,10,7,8,Matches,eaeca114
42,Ilias Akhomach,es ESP,FW,Barcelona,es La Liga,17,2004,1.4,53,53,0,0,0,9,1,5,0,0,0,0,45,3,5,49,3,1,0,0,45,0,0,1,2,Matches,b8bd60fe
43,Maghnes Akliouche,fr FRA,MFFW,Monaco,fr Ligue 1,19,2002,0.6,22,22,0,0,1,5,0,0,0,0,0,0,20,2,0,16,6,0,0,0,20,0,0,0,0,Matches,b625b241
44,Paul Akouokou,ci CIV,MF,Betis,es La Liga,23,1997,5.7,328,325,3,3,0,39,10,0,0,0,0,0,259,27,42,27,280,14,0,1,287,1,9,6,4,Matches,31f5b89b
45,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,28,1992,3.5,113,112,1,1,0,25,1,0,0,0,0,0,84,24,5,20,80,5,0,2,92,0,2,5,5,Matches,fdf4b948
46,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,26,1995,17.0,930,752,178,17,2,124,19,29,0,0,0,0,562,204,164,88,639,27,161,1,721,3,23,36,36,Matches,6ec6fde0
47,David Alaba,at AUT,DF,Real Madrid,es La Liga,29,1992,29.4,1967,1883,84,40,2,158,19,32,3,3,0,0,1680,123,164,1623,251,40,34,3,1804,5,14,19,20,Matches,05439de2
48,Sofiane Alakouch,ma MAR,DFMF,Metz,fr Ligue 1,23,1998,1.8,102,89,13,1,0,8,1,1,0,0,0,0,77,16,9,6,82,1,12,0,84,0,0,4,6,Matches,5314e067
49,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,22,1999,15.8,580,513,67,33,1,112,46,23,32,14,13,0,300,79,201,39,488,36,1,1,414,5,18,9,16,Matches,99ea2ddd
