,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,34,32,2881,32.0,0,2,0,0,0,8,0,0.00,0.06,0.06,0.00,0.06,0.7,0.7,1.4,2.1,0.02,0.04,0.07,0.02,0.07,Matches,774cf58b
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,34,34,2983,33.1,2,0,2,0,0,5,1,0.06,0.00,0.06,0.06,0.06,1.2,1.2,0.8,2.1,0.04,0.02,0.06,0.04,0.06,Matches,32c2d95f
3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,31,29,2462,27.4,1,0,1,0,0,12,3,0.04,0.00,0.04,0.04,0.04,0.8,0.8,1.1,1.9,0.03,0.04,0.07,0.03,0.07,Matches,82464ce3
4,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,34,34,2956,32.8,0,2,0,0,0,9,0,0.00,0.06,0.06,0.00,0.06,2.0,2.0,2.9,4.9,0.06,0.09,0.15,0.06,0.15,Matches,31626657
5,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,2000,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,469d3d84
6,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,24,5,726,8.1,0,1,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12,2.2,2.2,1.1,3.3,0.27,0.14,0.41,0.27,0.41,Matches,cadd666a
7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,2003,7,1,103,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.4,0.30,0.03,0.32,0.30,0.32,Matches,0e46fa2f
8,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,37,36,3084,34.3,17,4,14,3,3,9,0,0.50,0.12,0.61,0.41,0.53,20.5,18.3,3.6,21.8,0.60,0.10,0.70,0.53,0.64,Matches,f586779e
9,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,8,6,560,6.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.08,0.00,0.08,0.08,0.08,Matches,1f462f95
