Club,League,Position,Player,Statscore
Watford,eng Premier League,FWMF,João Pedro,21.438656819159725
Paris S-G,fr Ligue 1,FW,Kylian Mbappé,18.90468679905222
Real Madrid,es La Liga,FW,Vinicius Júnior,16.491016144195566
Paris S-G,fr Ligue 1,FWMF,Lionel Messi,16.34218161935018
Liverpool,eng Premier League,FW,Mohamed Salah,16.006931375447984
Paris S-G,fr Ligue 1,FWMF,Neymar,15.706140212704558
Real Madrid,es La Liga,FW,Karim Benzema,15.027638121569597
Brest,fr Ligue 1,MF,Romain Faivre,14.502573166936491
RB Leipzig,de Bundesliga,FWMF,Christopher Nkunku,14.101775988689598
Paris S-G,fr Ligue 1,FW,Ángel Di María,13.734744743508319
Manchester City,eng Premier League,MF,Kevin De Bruyne,13.562841110640992
Bayern Munich,de Bundesliga,FWDF,Serge Gnabry,13.406610881333732
Milan,it Serie A,FW,Rafael Leão,13.399603835441022
Atalanta,it Serie A,FW,Duván Zapata,13.190805592984303
Leverkusen,de Bundesliga,MFFW,Florian Wirtz,13.176272034067042
Bayern Munich,de Bundesliga,FW,Robert Lewandowski,13.096556808574856
Barcelona,es La Liga,FW,Memphis Depay,13.053704589539695
Manchester City,eng Premier League,FW,Raheem Sterling,12.689329334822856
Manchester City,eng Premier League,FW,Gabriel Jesus,12.682334704167403
Bayern Munich,de Bundesliga,FWMF,Leroy Sané,12.589062252280577
Lyon,fr Ligue 1,MF,Bruno Guimarães,12.549168912890662
Manchester City,eng Premier League,FW,Jack Grealish,12.45365222445994
Udinese,it Serie A,FWMF,Gerard Deulofeu,12.284707888875596
Marseille,fr Ligue 1,FWMF,Dimitri Payet,12.149255390618686
Bayern Munich,de Bundesliga,MF,Thomas Müller,12.138211487406311
Sassuolo,it Serie A,FW,Domenico Berardi,12.106215219915523
Liverpool,eng Premier League,FW,Diogo Jota,12.01653058553005
Dortmund,de Bundesliga,FW,Erling Haaland,11.985648423306639
Angers,fr Ligue 1,FWMF,Sofiane Boufal,11.773274923844257
Napoli,it Serie A,FW,Lorenzo Insigne,11.753170554093241
