Club,League,Position,Player,Statscore
Brest,fr Ligue 1,MF,Romain Faivre,9.483610201964513
Manchester City,eng Premier League,MF,Kevin De Bruyne,8.833551619406533
Lyon,fr Ligue 1,MF,Bruno Guimarães,8.751788297851808
Leverkusen,de Bundesliga,MFFW,Florian Wirtz,8.226522305649556
Athletic Club,es La Liga,MF,Iker Muniain,7.610355514385971
Bayern Munich,de Bundesliga,MF,Joshua Kimmich,7.413088884170182
Bayern Munich,de Bundesliga,MF,Thomas Müller,7.31004030772053
Lazio,it Serie A,MF,Luis Alberto,7.208076825589626
Betis,es La Liga,MF,Nabil Fekir,7.142813953388746
Chelsea,eng Premier League,MFFW,Mason Mount,6.794216905151182
Inter,it Serie A,MF,Hakan Çalhanoğlu,6.757141892573248
M'Gladbach,de Bundesliga,MFFW,Jonas Hofmann,6.590456727468592
Montpellier,fr Ligue 1,MF,Téji Savanier,6.570574018392729
Rennes,fr Ligue 1,MF,Lovro Majer,6.464475970387615
Inter,it Serie A,MF,Nicolò Barella,6.436860730675386
Dortmund,de Bundesliga,MFFW,Julian Brandt,6.414459229567353
Manchester Utd,eng Premier League,MF,Bruno Fernandes,6.395812689599709
Dortmund,de Bundesliga,MFFW,Marco Reus,6.366777108463866
Roma,it Serie A,MFFW,Lorenzo Pellegrini,6.345666750908244
Real Sociedad,es La Liga,MF,David Silva,6.24983609657077
Lille,fr Ligue 1,MF,Renato Sanches,6.16193604143203
Real Madrid,es La Liga,MF,Toni Kroos,6.155618662177626
Manchester City,eng Premier League,MF,İlkay Gündoğan,6.1308893666120765
Monaco,fr Ligue 1,MFFW,Sofiane Diop,6.105520949790687
Real Madrid,es La Liga,MF,Luka Modrić,6.095607219473353
Manchester City,eng Premier League,MFFW,Bernardo Silva,6.075009077840068
Paris S-G,fr Ligue 1,MF,Marco Verratti,6.006612048527436
Lyon,fr Ligue 1,MFFW,Lucas Paquetá,5.965633930809183
Lyon,fr Ligue 1,MFFW,Houssem Aouar,5.898438741847524
Rayo Vallecano,es La Liga,MF,Óscar Trejo,5.771966034133158
