Club,League,Position,Player,Statscore
Lyon,fr Ligue 1,MF,Bruno Guimarães,10.697247551092293
Brest,fr Ligue 1,MF,Romain Faivre,8.984975073074052
Paris S-G,fr Ligue 1,MF,Marco Verratti,7.402456821581666
Bayern Munich,de Bundesliga,MF,Joshua Kimmich,7.034851000002616
Real Madrid,es La Liga,MF,Toni Kroos,6.774085382034122
Lazio,it Serie A,MF,Luis Alberto,6.564786415563745
Manchester City,eng Premier League,MF,Kevin De Bruyne,6.514048667345232
Lille,fr Ligue 1,MF,Renato Sanches,6.30776920423029
Rennes,fr Ligue 1,MF,Lovro Majer,6.160126773174572
Leverkusen,de Bundesliga,MFFW,Florian Wirtz,6.1057915070666535
Montpellier,fr Ligue 1,MF,Téji Savanier,6.06284258005946
Chelsea,eng Premier League,MF,N'Golo Kanté,6.033281948079765
Lyon,fr Ligue 1,MFFW,Lucas Paquetá,5.873129422850263
Lyon,fr Ligue 1,MFFW,Houssem Aouar,5.832979052106106
Manchester City,eng Premier League,MFFW,Bernardo Silva,5.817338747046932
Inter,it Serie A,MF,Hakan Çalhanoğlu,5.8040664694696025
Napoli,it Serie A,MF,Fabián Ruiz Peña,5.796864581191079
Sassuolo,it Serie A,MF,Maxime Lopez,5.793033407217281
Athletic Club,es La Liga,MF,Iker Muniain,5.785651535618328
Real Madrid,es La Liga,MF,Luka Modrić,5.753649463071518
Atlético Madrid,es La Liga,MF,Rodrigo De Paul,5.716126429468325
Inter,it Serie A,MF,Nicolò Barella,5.711984544739044
Leverkusen,de Bundesliga,MF,Kerem Demirbay,5.6005372986886615
Bordeaux,fr Ligue 1,MFFW,Yacine Adli,5.586475752382668
Rayo Vallecano,es La Liga,MF,Óscar Trejo,5.556747705914881
Celta Vigo,es La Liga,MF,Denis Suárez,5.537546178008277
Manchester Utd,eng Premier League,MF,Bruno Fernandes,5.533311835188321
Montpellier,fr Ligue 1,MF,Jordan Ferri,5.511830988292456
M'Gladbach,de Bundesliga,MFFW,Jonas Hofmann,5.482981936439836
Betis,es La Liga,MF,Nabil Fekir,5.468785038216323
