Club,League,Position,Player,Statscore
Lyon,fr Ligue 1,MF,Bruno Guimarães,31.80860096295083
Brest,fr Ligue 1,MF,Romain Faivre,25.899295253778817
Bayern Munich,de Bundesliga,MF,Joshua Kimmich,22.46589462926231
Paris S-G,fr Ligue 1,MF,Marco Verratti,21.385511899273165
Manchester City,eng Premier League,MF,Kevin De Bruyne,20.595933602202575
Real Madrid,es La Liga,MF,Toni Kroos,20.354011181328744
Lazio,it Serie A,MF,Luis Alberto,19.687774174801174
Leverkusen,de Bundesliga,MFFW,Florian Wirtz,18.99220736565179
Lille,fr Ligue 1,MF,Renato Sanches,18.925736791000524
Montpellier,fr Ligue 1,MF,Téji Savanier,18.52282074241859
Chelsea,eng Premier League,MF,N'Golo Kanté,18.47639515021708
Rennes,fr Ligue 1,MF,Lovro Majer,18.291793355648863
Inter,it Serie A,MF,Hakan Çalhanoğlu,18.15374952199783
Leverkusen,de Bundesliga,MF,Kerem Demirbay,17.829872483324486
Napoli,it Serie A,MF,Fabián Ruiz Peña,17.808842330376773
Athletic Club,es La Liga,MF,Iker Muniain,17.76808343784424
Real Madrid,es La Liga,MF,Luka Modrić,17.720622117065414
Inter,it Serie A,MF,Nicolò Barella,17.46650931740068
Lyon,fr Ligue 1,MFFW,Lucas Paquetá,17.37210649115429
Bordeaux,fr Ligue 1,MFFW,Yacine Adli,17.267316936574044
Atlético Madrid,es La Liga,MF,Rodrigo De Paul,17.2139103136341
Manchester Utd,eng Premier League,MF,Bruno Fernandes,17.154021961730855
Sassuolo,it Serie A,MF,Maxime Lopez,17.15302589925605
Manchester City,eng Premier League,MF,Rodri,17.146404079710297
M'Gladbach,de Bundesliga,MFFW,Jonas Hofmann,17.057974024385253
Manchester City,eng Premier League,MFFW,Bernardo Silva,17.01814585582848
Real Madrid,es La Liga,MF,Casemiro,17.018054256945604
Bayern Munich,de Bundesliga,MF,Thomas Müller,16.972082549824034
Inter,it Serie A,MF,Marcelo Brozović,16.96359989774909
Villarreal,es La Liga,MF,Daniel Parejo,16.89459249016661
