Club,League,Position,Player,Statscore
Lyon,fr Ligue 1,MF,Bruno Guimarães,12.35956511400673
Real Madrid,es La Liga,MF,Casemiro,8.104897143696295
Bayern Munich,de Bundesliga,MF,Joshua Kimmich,8.017954745089513
Paris S-G,fr Ligue 1,MF,Marco Verratti,7.976443029164067
Clermont Foot,fr Ligue 1,MF,Johan Gastien,7.773486792745354
Rayo Vallecano,es La Liga,MF,Óscar Valentín,7.589041819746616
Barcelona,es La Liga,MF,Sergio Busquets,7.486941094310838
Manchester City,eng Premier League,MF,Rodri,7.469719500991907
Brest,fr Ligue 1,MF,Romain Faivre,7.430709978740248
Lille,fr Ligue 1,MF,Benjamin André,7.426224439777411
Real Madrid,es La Liga,MF,Toni Kroos,7.424307137117004
Roma,it Serie A,MF,Bryan Cristante,7.284482882934425
West Ham,eng Premier League,MF,Declan Rice,7.249778508147072
Montpellier,fr Ligue 1,MF,Jordan Ferri,7.215730354616123
Inter,it Serie A,MF,Marcelo Brozović,7.213867286076282
Bologna,it Serie A,MF,Nicolás Domínguez,7.125148812008611
Monaco,fr Ligue 1,MF,Aurélien Tchouaméni,7.105237055115313
Bordeaux,fr Ligue 1,MF,Jean Onana,7.086402391326578
Leverkusen,de Bundesliga,MF,Kerem Demirbay,6.990909937011153
Sassuolo,it Serie A,MF,Maxime Lopez,6.982588245529813
Tottenham,eng Premier League,MF,Pierre Højbjerg,6.955144696394154
Lyon,fr Ligue 1,MF,Maxence Caqueret,6.9397612572215825
Rayo Vallecano,es La Liga,MF,Santi Comesaña,6.9288764594202465
Napoli,it Serie A,MF,Fabián Ruiz Peña,6.895875799545063
Leicester City,eng Premier League,MFDF,Wilfred Ndidi,6.824009886709921
Chelsea,eng Premier League,MF,N'Golo Kanté,6.789000694784268
Brentford,eng Premier League,MF,Christian Nørgaard,6.775837930639657
Atalanta,it Serie A,MF,Remo Freuler,6.7708916039382485
Chelsea,eng Premier League,MF,Jorginho,6.770357619659744
Lyon,fr Ligue 1,MFDF,Thiago Mendes,6.763337183507099
