Club,League,Position,Player,Statscore
Lazio,it Serie A,MF,Luis Alberto,1.3087947488991591
Real Sociedad,es La Liga,MF,Martín Zubimendi,1.5568615528240843
Bologna,it Serie A,MFFW,Roberto Soriano,1.5761714969019267
Cagliari,it Serie A,MF,Răzvan Marin,1.6568869914352315
M'Gladbach,de Bundesliga,MF,Kouadio Koné,1.7299724999983228
Arsenal,eng Premier League,MF,Thomas Partey,1.7488572068404724
M'Gladbach,de Bundesliga,MFFW,Jonas Hofmann,1.7490333835243879
Udinese,it Serie A,MF,Walace,1.8263946269040574
Nice,fr Ligue 1,MF,Mario Lemina,2.0516350587794863
Manchester Utd,eng Premier League,MF,Bruno Fernandes,2.075759275386537
Hellas Verona,it Serie A,MF,Ivan Ilić,2.1137752961524843
Roma,it Serie A,MFFW,Lorenzo Pellegrini,2.1568022139836622
Venezia,it Serie A,MFDF,Domen Črnigoj,2.1670937033251607
Manchester Utd,eng Premier League,MF,Scott McTominay,2.228375235148683
Elche,es La Liga,MFFW,Fidel,2.250655522250152
Paris S-G,fr Ligue 1,MF,Marco Verratti,2.2934957744664644
Bologna,it Serie A,MF,Mattias Svanberg,2.3587953752288837
Köln,de Bundesliga,MFFW,Mark Uth,2.3716589148743674
Atalanta,it Serie A,MF,Remo Freuler,2.4092281041720693
Fiorentina,it Serie A,MF,Alfred Duncan,2.4152008563616603
Leicester City,eng Premier League,MFFW,James Maddison,2.469813301552405
Spezia,it Serie A,MF,Giulio Maggiore,2.5083087770335375
Bordeaux,fr Ligue 1,MFFW,Remi Oudin,2.5644151182552437
Mainz 05,de Bundesliga,MF,Anton Stach,2.6911983656913847
Monaco,fr Ligue 1,MFFW,Kevin Volland,2.6950765228250417
Rayo Vallecano,es La Liga,MF,Óscar Trejo,2.7524023563500113
Lyon,fr Ligue 1,MFFW,Lucas Paquetá,2.7827415605318255
Bayern Munich,de Bundesliga,MF,Thomas Müller,2.785538622227275
Celta Vigo,es La Liga,MF,Brais Méndez,2.7986404308266932
Watford,eng Premier League,MF,Moussa Sissoko,2.8009787560787793
