Club,League,Position,Player,Statscore
Genoa,it Serie A,MF,Milan Badelj,3.7658227848101262
Greuther Fürth,de Bundesliga,MF,Max Christiansen,3.552631578947368
Monaco,fr Ligue 1,MF,Aurélien Tchouaméni,3.5076923076923077
Mainz 05,de Bundesliga,MF,Anton Stach,3.4782608695652173
Cagliari,it Serie A,MF,Alberto Grassi,3.181818181818182
Bordeaux,fr Ligue 1,MF,Jean Onana,2.9901960784313726
Rayo Vallecano,es La Liga,MF,Óscar Valentín,2.8771929824561404
Köln,de Bundesliga,MF,Salih Özcan,2.840466926070039
M'Gladbach,de Bundesliga,MF,Kouadio Koné,2.757201646090535
Brest,fr Ligue 1,MF,Lucien Agoume,2.692307692307692
West Ham,eng Premier League,MF,Declan Rice,2.691218130311615
Atlético Madrid,es La Liga,MFDF,Geoffrey Kondogbia,2.6315789473684212
Eint Frankfurt,de Bundesliga,MF,Djibril Sow,2.6119402985074625
Udinese,it Serie A,MF,Walace,2.606060606060606
Montpellier,fr Ligue 1,MF,Joris Chotard,2.576687116564417
Metz,fr Ligue 1,MF,Vincent Pajot,2.568093385214008
Lorient,fr Ligue 1,MF,Laurent Abergel,2.5609756097560976
Lyon,fr Ligue 1,MFDF,Thiago Mendes,2.560386473429952
Hellas Verona,it Serie A,MFDF,Adrien Tameze,2.5174825174825175
Brentford,eng Premier League,MF,Christian Nørgaard,2.5073746312684366
Lille,fr Ligue 1,MF,Benjamin André,2.4836601307189543
Augsburg,de Bundesliga,MF,Niklas Dorsch,2.4806201550387597
Clermont Foot,fr Ligue 1,MF,Johan Gastien,2.459016393442623
Reims,fr Ligue 1,MF,Azor Matusiwa,2.445255474452555
Osasuna,es La Liga,MF,Lucas Torró,2.4092409240924093
Burnley,eng Premier League,MF,Josh Brownhill,2.408536585365854
Arminia,de Bundesliga,MF,Manuel Prietl,2.3728813559322033
Chelsea,eng Premier League,MF,Jorginho,2.3715415019762847
Atalanta,it Serie A,MFDF,Marten de Roon,2.3674911660777385
Lyon,fr Ligue 1,MF,Maxence Caqueret,2.3552123552123554
