Club,League,Position,Player,Statscore
Bayern Munich,de Bundesliga,DF,Dayot Upamecano,7.154454111227011
Nantes,fr Ligue 1,DFMF,Andrei Girotto,6.796327970136643
Stuttgart,de Bundesliga,DF,Konstantinos Mavropanos,6.672302527276987
Dortmund,de Bundesliga,DF,Nico Schlotterbeck,6.650025651365871
Bayern Munich,de Bundesliga,DF,Benjamin Pavard,6.564262864938121
Werder Bremen,de Bundesliga,DF,Marco Friedl,6.544449681854192
Chelsea,eng Premier League,DF,Thiago Silva,6.516378549601632
Nantes,fr Ligue 1,DF,Nicolas Pallois,6.472671737090494
Southampton,eng Premier League,DF,Mohammed Salisu,6.4641421620858015
Napoli,it Serie A,DF,Kim Min-jae,6.385403778514906
RB Leipzig,de Bundesliga,DF,Joško Gvardiol,6.318002246213
Leicester City,eng Premier League,DF,Wout Faes,6.298220574156659
RB Leipzig,de Bundesliga,DF,Willi Orban,6.289427974327357
Nice,fr Ligue 1,DF,Jean-Clair Todibo,6.272521826590156
Reims,fr Ligue 1,DF,Emmanuel Agbadou,6.2423245124870785
Manchester Utd,eng Premier League,DF,Lisandro Martínez,6.198616384779557
Everton,eng Premier League,DF,James Tarkowski,6.189408035046987
Reims,fr Ligue 1,DF,Yunis Abdelhamid,6.1883851923401485
Strasbourg,fr Ligue 1,DF,Alexander Djiku,6.181638673804336
Marseille,fr Ligue 1,DF,Leonardo Balerdi,6.130249596396668
Nice,fr Ligue 1,DF,Dante,6.114341708672342
Real Madrid,es La Liga,DF,Éder Militão,6.015168472185618
Köln,de Bundesliga,DF,Timo Hübers,5.966143637913869
Paris S-G,fr Ligue 1,DF,Sergio Ramos,5.928747580077854
Stuttgart,de Bundesliga,DF,Hiroki Ito,5.904493811302097
Auxerre,fr Ligue 1,DF,Gideon Mensah,5.889494096336632
Leverkusen,de Bundesliga,DF,Edmond Tapsoba,5.846675670995641
Napoli,it Serie A,DF,Amir Rrahmani,5.832738447448412
Monza,it Serie A,DF,Armando Izzo,5.816787528666575
Monaco,fr Ligue 1,DF,Axel Disasi,5.81537468972715
