Club,League,Position,Player,Statscore
Manchester City,eng Premier League,MF,Rodri,6.622113230161909
Lille,fr Ligue 1,MF,Benjamin André,6.404491458432791
Angers,fr Ligue 1,MF,Nabil Bentaleb,5.739164110149947
Bayern Munich,de Bundesliga,MF,Joshua Kimmich,5.654825264213449
Wolves,eng Premier League,MF,Rúben Neves,5.471807507863272
Reims,fr Ligue 1,MF,Azor Matusiwa,5.422966159550001
Arsenal,eng Premier League,MF,Thomas Partey,5.3978300045560275
Toulouse,fr Ligue 1,MF,Stijn Spierings,5.340197533461316
Marseille,fr Ligue 1,MF,Valentin Rongier,5.311291729268532
Clermont Foot,fr Ligue 1,MF,Johan Gastien,5.228428417234022
Barcelona,es La Liga,MF,Sergio Busquets,5.172799750484612
Lorient,fr Ligue 1,MF,Enzo Le Fée,5.115947393433621
Brest,fr Ligue 1,MF,Pierre Lees-Melou,5.112678090188896
West Ham,eng Premier League,MF,Declan Rice,5.10741590019673
Tottenham,eng Premier League,MF,Pierre Højbjerg,5.024139170136835
Rayo Vallecano,es La Liga,MF,Óscar Valentín,4.989781160675102
Milan,it Serie A,MF,Ismaël Bennacer,4.970691464397919
Everton,eng Premier League,MF,Idrissa Gana Gueye,4.9384938514752665
Köln,de Bundesliga,MF,Ellyes Skhiri,4.901712054968098
Marseille,fr Ligue 1,MF,Jordan Veretout,4.887531218375924
Leicester City,eng Premier League,MF,Youri Tielemans,4.877162043440621
Fiorentina,it Serie A,MF,Sofyan Amrabat,4.867684773726203
Leeds United,eng Premier League,MF,Tyler Adams,4.837940325357069
Dortmund,de Bundesliga,MF,Jude Bellingham,4.81566273640028
Juventus,it Serie A,MF,Manuel Locatelli,4.7897580239290365
Athletic Club,es La Liga,MF,Mikel Vesga,4.780886332510527
Villarreal,es La Liga,MF,Daniel Parejo,4.762794321400724
Barcelona,es La Liga,MF,Frenkie de Jong,4.734158517735339
Bologna,it Serie A,MF,Jerdy Schouten,4.709553908514825
Montpellier,fr Ligue 1,MF,Jordan Ferri,4.683062904787607
