Club            ,League             ,Position ,Player               ,Statscore
Paris S-G       ,fr Ligue 1         ,FW       ,Ousmane Dembélé      ,16.57682963948595
Paris S-G       ,fr Ligue 1         ,FW       ,Bradley Barcola      ,13.500007627726104
Real Madrid     ,es La Liga         ,FW       ,Kylian Mbappé        ,12.394797115895669
Barcelona       ,es La Liga         ,FW       ,Lamine Yamal         ,12.371883373009924
Real Madrid     ,es La Liga         ,FW       ,Vinicius Júnior      ,12.029713854090708
Atalanta        ,it Serie A         ,FWMF     ,Ademola Lookman      ,12.003192965833353
Barcelona       ,es La Liga         ,FWMF     ,Raphinha             ,11.801557528937765
Bayern Munich   ,de Bundesliga      ,FWMF     ,Michael Olise        ,11.5509919512293
Manchester City ,eng Premier League ,FWMF     ,Sávio                ,11.467301401400169
Chelsea         ,eng Premier League ,FW       ,Noni Madueke         ,11.320323512029889
Leverkusen      ,de Bundesliga      ,MFFW     ,Florian Wirtz        ,11.186625794270014
Eint Frankfurt  ,de Bundesliga      ,FW       ,Hugo Ekitike         ,10.933639308923881
Lyon            ,fr Ligue 1         ,FWMF     ,Rayan Cherki         ,10.646545069420819
Bayern Munich   ,de Bundesliga      ,MF       ,Jamal Musiala        ,10.463724878162536
Marseille       ,fr Ligue 1         ,FWMF     ,Mason Greenwood      ,10.068911628440901
Milan           ,it Serie A         ,FW       ,Rafael Leão          ,10.028377612954314
Atalanta        ,it Serie A         ,FW       ,Mateo Retegui        , 9.905369600452774
Newcastle Utd   ,eng Premier League ,FW       ,Alexander Isak       , 9.831305671594185
Manchester Utd  ,eng Premier League ,FWMF     ,Amad Diallo          , 9.679046581681911
Liverpool       ,eng Premier League ,FW       ,Luis Díaz            , 9.644259209307956
Chelsea         ,eng Premier League ,MF       ,Cole Palmer          , 9.322390654791096
Lazio           ,it Serie A         ,FW       ,Valentín Castellanos , 9.107512278668196
Chelsea         ,eng Premier League ,FW       ,Nicolas Jackson      , 9.076625941016605
Inter           ,it Serie A         ,FW       ,Marcus Thuram        , 9.054728354585107
Tottenham       ,eng Premier League ,MF       ,James Maddison       , 9.054646536244068
Monaco          ,fr Ligue 1         ,FWMF     ,Maghnes Akliouche    , 8.994539233244058
Real Madrid     ,es La Liga         ,FWMF     ,Rodrygo              , 8.812680313699477
Manchester City ,eng Premier League ,FW       ,Erling Haaland       , 8.805429354795658
Wolves          ,eng Premier League ,MFFW     ,Matheus Cunha        , 8.670812000180755
Dortmund        ,de Bundesliga      ,FWMF     ,Jamie Gittens        , 8.63187923565849
Bournemouth     ,eng Premier League ,FW       ,Antoine Semenyo      , 8.602777548168106
Gladbach        ,de Bundesliga      ,FW       ,Tim Kleindienst      , 8.59290569000628
Bournemouth     ,eng Premier League ,FW       ,Dango Ouattara       , 8.568600404320913
Aston Villa     ,eng Premier League ,FW       ,Ollie Watkins        , 8.391417759325666
Betis           ,es La Liga         ,FWMF     ,Abde Ezzalzouli      , 8.383617241482897
Milan           ,it Serie A         ,FWMF     ,Christian Pulisic    , 8.376479119331183
Atalanta        ,it Serie A         ,MFFW     ,Charles De Ketelaere , 8.353638301634712
Athletic Club   ,es La Liga         ,FW       ,Nico Williams        , 8.352705460429458
Manchester Utd  ,eng Premier League ,MFFW     ,Alejandro Garnacho   , 8.339506328737393
Monaco          ,fr Ligue 1         ,MFFW     ,Eliesse Ben Seghir   , 8.33157237389821
