Club            ,League             ,Position ,Player                ,Statscore
Paris S-G       ,fr Ligue 1         ,MFDF     ,João Neves            ,4.913019952988062
Monaco          ,fr Ligue 1         ,MF       ,Lamine Camara         ,4.682613674629838
Hoffenheim      ,de Bundesliga      ,MFFW     ,Tom Bischof           ,4.611642790521014
Chelsea         ,eng Premier League ,MF       ,Moisés Caicedo        ,4.508092855109354
Strasbourg      ,fr Ligue 1         ,MF       ,Andrey Santos         ,4.433087687635069
Nott'ham Forest ,eng Premier League ,MF       ,Elliot Anderson       ,4.417971984868416
Tottenham       ,eng Premier League ,MF       ,Pape Matar Sarr       ,4.383608416750052
Barcelona       ,es La Liga         ,MF       ,Pedri                 ,4.383149709121003
Betis           ,es La Liga         ,MF       ,Johnny Cardoso        ,4.350550817946759
Mallorca        ,es La Liga         ,MF       ,Samu Costa            ,4.295806109124838
Wolves          ,eng Premier League ,MF       ,André                 ,4.210757940632988
Brighton        ,eng Premier League ,MF       ,Carlos Baleba         ,4.190806628128004
Stuttgart       ,de Bundesliga      ,MF       ,Angelo Stiller        ,4.189329914264116
Mainz 05        ,de Bundesliga      ,MF       ,Kaishu Sano           ,4.171092884752463
Lazio           ,it Serie A         ,MF       ,Nicolò Rovella        ,4.15489444769571
Saint-Étienne   ,fr Ligue 1         ,MF       ,Pierre Ekwah Elimby   ,4.149090029494276
Valencia        ,es La Liga         ,MF       ,Enzo Barrenechea      ,4.123126354567853
Holstein Kiel   ,de Bundesliga      ,MF       ,Nicolai Remberg       ,4.112442532476088
Paris S-G       ,fr Ligue 1         ,MFDF     ,Warren Zaïre-Emery    ,4.106373369354961
Toulouse        ,fr Ligue 1         ,MF       ,Cristian Cásseres Jr. ,4.082444918652257
Atalanta        ,it Serie A         ,MF       ,Éderson               ,4.047049516829157
Barcelona       ,es La Liga         ,MF       ,Marc Casado           ,3.950833167922786
Genoa           ,it Serie A         ,MF       ,Morten Frendrup       ,3.940049526717412
Monza           ,it Serie A         ,MF       ,Alessandro Bianco     ,3.9226851471993816
Nice            ,fr Ligue 1         ,MF       ,Hicham Boudaoui       ,3.9090193762132985
Liverpool       ,eng Premier League ,MF       ,Ryan Gravenberch      ,3.876686484608525
Valladolid      ,es La Liga         ,MF       ,Mario Martín          ,3.835112175304123
Athletic Club   ,es La Liga         ,MF       ,Mikel Jauregizar      ,3.7870335012468836
Newcastle Utd   ,eng Premier League ,MF       ,Sandro Tonali         ,3.72603646028243
Heidenheim      ,de Bundesliga      ,MF       ,Jan Schöppner         ,3.70604705711403
Betis           ,es La Liga         ,MF       ,Sergi Altimira        ,3.704747786691909
Celta Vigo      ,es La Liga         ,MFDF     ,Óscar Mingueza        ,3.7038434825607798
Alavés          ,es La Liga         ,MF       ,Antonio Blanco        ,3.68429430853694
Montpellier     ,fr Ligue 1         ,MF       ,Joris Chotard         ,3.682187842483286
Brentford       ,eng Premier League ,MFFW     ,Mikkel Damsgaard      ,3.639962082316671
St. Pauli       ,de Bundesliga      ,MFDF     ,Philipp Treu          ,3.62648645215269
Lazio           ,it Serie A         ,MF       ,Mattéo Guendouzi      ,3.583664489169308
Espanyol        ,es La Liga         ,MF       ,Pol Lozano            ,3.546972118231707
Wolves          ,eng Premier League ,MF       ,João Gomes            ,3.5305127843384403
Saint-Étienne   ,fr Ligue 1         ,MF       ,Benjamin Bouchouari   ,3.4952634166247094
