Club,League,Position,Player,Statscore
Paris S-G,fr Ligue 1,DF,Achraf Hakimi,5.229858254325988
Leverkusen,de Bundesliga,DFMF,Álex Grimaldo,4.451849405205591
Inter,it Serie A,DFFW,Federico Dimarco,3.8463142417442184
Marseille,fr Ligue 1,DFFW,Luis Henrique,3.809089282981038
Leverkusen,de Bundesliga,DFMF,Jeremie Frimpong,3.7635235983170143
Liverpool,eng Premier League,DF,Trent Alexander-Arnold,3.492552513393628
Rennes,fr Ligue 1,DFMF,Lorenz Assignon,3.4132470343958907
Manchester City,eng Premier League,DF,Joško Gvardiol,3.376429937738048
Bologna,it Serie A,DF,Juan Miranda,3.3680263016507794
Barcelona,es La Liga,DF,Alejandro Balde,3.366790389086096
Strasbourg,fr Ligue 1,DFMF,Diego Moreira,3.295032865871765
Juventus,it Serie A,DFFW,Andrea Cambiaso,3.1903439062271524
Milan,it Serie A,DF,Theo Hernández,3.1770848904322437
Mainz 05,de Bundesliga,DF,Anthony Caci,3.1259258847706817
Inter,it Serie A,DFFW,Denzel Dumfries,3.1238918115246737
Rayo Vallecano,es La Liga,DF,Andrei Ratiu,3.057950241213359
Inter,it Serie A,DF,Alessandro Bastoni,3.0315474719363875
Girona,es La Liga,DFMF,Miguel Gutiérrez,3.0209091773551817
Werder Bremen,de Bundesliga,DFMF,Mitchell Weiser,2.9880184036867012
Toulouse,fr Ligue 1,DFMF,Aron Dønnum,2.938158601596756
Stuttgart,de Bundesliga,DF,Maximilian Mittelstädt,2.936984534474278
Toulouse,fr Ligue 1,DF,Gabriel Suazo,2.879624330707731
Fulham,eng Premier League,DF,Antonee Robinson,2.8641995004070986
Monaco,fr Ligue 1,DF,Vanderson,2.8508768666280266
Liverpool,eng Premier League,DF,Andrew Robertson,2.817772331521524
Tottenham,eng Premier League,DF,Pedro Porro,2.80937227053203
Barcelona,es La Liga,DF,Jules Koundé,2.7680895602642726
Brentford,eng Premier League,DFFW,Keane Lewis-Potter,2.7656460007446824
Wolves,eng Premier League,DF,Rayan Aït-Nouri,2.6675340072966955
Holstein Kiel,de Bundesliga,DFMF,Finn Porath,2.6633530622892883
