Club            ,League             ,Position ,Player               ,Statscore
Paris S-G       ,fr Ligue 1         ,FW       ,Ousmane Dembélé      ,8.364316274046535
Paris S-G       ,fr Ligue 1         ,FW       ,Bradley Barcola      ,6.686826524841806
Real Madrid     ,es La Liga         ,FW       ,Kylian Mbappé        ,6.343928443479137
Atalanta        ,it Serie A         ,FW       ,Mateo Retegui        ,5.986676463267658
Eint Frankfurt  ,de Bundesliga      ,FW       ,Hugo Ekitike         ,5.96695983546562
Barcelona       ,es La Liga         ,FWMF     ,Raphinha             ,5.784952685797042
Real Madrid     ,es La Liga         ,FW       ,Vinicius Júnior      ,5.756160223161821
Atalanta        ,it Serie A         ,FWMF     ,Ademola Lookman      ,5.706290426128583
Barcelona       ,es La Liga         ,FW       ,Lamine Yamal         ,5.702956842718087
Chelsea         ,eng Premier League ,FW       ,Noni Madueke         ,5.579282409052752
Newcastle Utd   ,eng Premier League ,FW       ,Alexander Isak       ,5.333809534737358
Lazio           ,it Serie A         ,FW       ,Valentín Castellanos ,5.253203783804298
Manchester City ,eng Premier League ,FW       ,Erling Haaland       ,5.203740013342743
Bayern Munich   ,de Bundesliga      ,FWMF     ,Michael Olise        ,5.187509616575956
Manchester City ,eng Premier League ,FWMF     ,Sávio                ,5.140272679551194
Dortmund        ,de Bundesliga      ,FW       ,Serhou Guirassy      ,5.058798951056423
Gladbach        ,de Bundesliga      ,FW       ,Tim Kleindienst      ,5.049446564186641
Marseille       ,fr Ligue 1         ,FWMF     ,Mason Greenwood      ,5.008210912249755
Inter           ,it Serie A         ,FW       ,Marcus Thuram        ,4.87084403401083
Bournemouth     ,eng Premier League ,FW       ,Evanilson            ,4.866896355947115
Chelsea         ,eng Premier League ,FW       ,Nicolas Jackson      ,4.845713590835935
Aston Villa     ,eng Premier League ,FW       ,Ollie Watkins        ,4.829036886259141
Mainz 05        ,de Bundesliga      ,FW       ,Jonathan Burkardt    ,4.707963964319006
Milan           ,it Serie A         ,FW       ,Rafael Leão          ,4.7049596858747424
Liverpool       ,eng Premier League ,FW       ,Luis Díaz            ,4.6896620002835325
RB Leipzig      ,de Bundesliga      ,FWMF     ,Loïs Openda          ,4.411383418393686
Bournemouth     ,eng Premier League ,FW       ,Dango Ouattara       ,4.401082550834656
Mallorca        ,es La Liga         ,FW       ,Vedat Muriqi         ,4.387717800013988
Brighton        ,eng Premier League ,FWMF     ,João Pedro           ,4.383795378482794
Manchester Utd  ,eng Premier League ,FWMF     ,Amad Diallo          ,4.373314648794015
Bournemouth     ,eng Premier League ,FW       ,Antoine Semenyo      ,4.293268494675442
Lyon            ,fr Ligue 1         ,FWMF     ,Rayan Cherki         ,4.29148302162631
Lens            ,fr Ligue 1         ,FW       ,M'Bala Nzola         ,4.2241627105550155
Juventus        ,it Serie A         ,FW       ,Dušan Vlahović       ,4.21215652213611
Villarreal      ,es La Liga         ,FW       ,Thierno Barry        ,4.20231155756488
Strasbourg      ,fr Ligue 1         ,FW       ,Emanuel Emegha       ,4.200072903938744
Liverpool       ,eng Premier League ,FW       ,Cody Gakpo           ,4.124963244160361
Brentford       ,eng Premier League ,FW       ,Kevin Schade         ,4.106588283581947
Lille           ,fr Ligue 1         ,FW       ,Jonathan David       ,4.085299745305296
Brentford       ,eng Premier League ,FW       ,Yoane Wissa          ,4.038334747382448
