Club,League,Position,Player,Statscore
Manchester City,eng Premier League,MF,Kevin De Bruyne,9.959440527045034
Aston Villa,eng Premier League,FWMF,Jack Grealish,9.248455020652118
Leeds United,eng Premier League,MF,Raphael Dias Belloli,8.035219779492484
Manchester Utd,eng Premier League,MF,Bruno Fernandes,7.485877104053044
Chelsea,eng Premier League,MFFW,Mason Mount,7.173584881879802
Manchester City,eng Premier League,MF,İlkay Gündoğan,7.165947736194243
Manchester City,eng Premier League,MFFW,Bernardo Silva,6.024452259439616
Wolves,eng Premier League,FWMF,Pedro Neto,5.999766903076788
Leicester City,eng Premier League,MFFW,James Maddison,5.828200363432393
Fulham,eng Premier League,FWMF,Ademola Lookman,5.787252248867071
Leicester City,eng Premier League,FWMF,Harvey Barnes,5.603278206288543
Liverpool,eng Premier League,MF,Thiago Alcántara,5.435833530625437
Brighton,eng Premier League,FWMF,Leandro Trossard,5.43532440573827
Leeds United,eng Premier League,MF,Jack Harrison,5.405464930329225
Manchester Utd,eng Premier League,MFFW,Paul Pogba,5.383191784786078
Chelsea,eng Premier League,MF,Mateo Kovačić,5.206694844831519
Leeds United,eng Premier League,MF,Mateusz Klich,5.092399191575316
Brighton,eng Premier League,MFDF,Pascal Groß,5.001066720001175
Crystal Palace,eng Premier League,MF,Eberechi Eze,4.998896937057273
West Brom,eng Premier League,MFFW,Matheus Pereira,4.92717679484326
Southampton,eng Premier League,MF,Stuart Armstrong,4.5115855500611115
Leicester City,eng Premier League,MF,Youri Tielemans,4.498651912204997
Manchester City,eng Premier League,MF,Rodri,4.448209400528008
Fulham,eng Premier League,MF,Andre-Frank Zambo Anguissa,4.322086573136904
Tottenham,eng Premier League,MF,Tanguy Ndombele,4.144156008389189
Crystal Palace,eng Premier League,MFFW,Andros Townsend,4.111515394947972
Brighton,eng Premier League,FWMF,Neal Maupay,4.040202798096127
Burnley,eng Premier League,MF,Dwight McNeil,3.9912574557378493
West Ham,eng Premier League,FWMF,Pablo Fornals,3.9819554468662983
West Ham,eng Premier League,FWMF,Jarrod Bowen,3.9544983088367913
