Club,League,Position,Player,Statscore
Paris S-G,fr Ligue 1,FW,Kylian Mbappé,9.072546852730541
Barcelona,es La Liga,FWMF,Lionel Messi,7.9853410318680815
Bayern Munich,de Bundesliga,FW,Robert Lewandowski,7.976764857486151
Juventus,it Serie A,FW,Cristiano Ronaldo,7.0424059210948515
Atalanta,it Serie A,FW,Duván Zapata,6.985535008306321
Eint Frankfurt,de Bundesliga,FW,André Silva,6.693287080541368
Lyon,fr Ligue 1,FW,Memphis Depay,6.6387147838234215
Dortmund,de Bundesliga,FW,Erling Haaland,6.314284419061521
Liverpool,eng Premier League,FW,Mohamed Salah,6.1723320539357935
Inter,it Serie A,FW,Romelu Lukaku,6.118012713774442
Lazio,it Serie A,FW,Ciro Immobile,6.0182085863219
Inter,it Serie A,FW,Lautaro Martínez,5.9514228304612065
Chelsea,eng Premier League,FW,Timo Werner,5.93699583138721
Liverpool,eng Premier League,FW,Sadio Mané,5.851103782101932
Roma,it Serie A,FW,Edin Džeko,5.835909846932765
Aston Villa,eng Premier League,FWMF,Jack Grealish,5.815086997687541
Bayern Munich,de Bundesliga,FWMF,Leroy Sané,5.810470572309154
Tottenham,eng Premier League,FW,Harry Kane,5.791825431613755
Lyon,fr Ligue 1,FW,Karl Toko Ekambi,5.713756830928885
Real Madrid,es La Liga,FW,Karim Benzema,5.660747038555434
Manchester City,eng Premier League,FW,Raheem Sterling,5.652252094924923
RB Leipzig,de Bundesliga,FWMF,Christopher Nkunku,5.561792129976949
Leicester City,eng Premier League,FW,Jamie Vardy,5.557074405224772
Villarreal,es La Liga,FWMF,Gerard Moreno,5.525392087479414
Dortmund,de Bundesliga,FWMF,Jadon Sancho,5.51996250109781
Lazio,it Serie A,FW,Joaquín Correa,5.456866385866187
Paris S-G,fr Ligue 1,FWMF,Ángel Di María,5.4483886850325165
Real Sociedad,es La Liga,FW,Alexander Isak,5.437986013573408
Napoli,it Serie A,FW,Hirving Lozano,5.400678984894541
Atalanta,it Serie A,FWMF,Ruslan Malinovskyi,5.366152600755836
West Ham,eng Premier League,FW,Michail Antonio,5.351638864897834
Monaco,fr Ligue 1,FW,Wissam Ben Yedder,5.310460437035402
Montpellier,fr Ligue 1,FW,Andy Delort,5.3079430292158225
Napoli,it Serie A,FW,Lorenzo Insigne,5.260152045250571
Hoffenheim,de Bundesliga,FWMF,Andrej Kramarić,5.256861047700703
Juventus,it Serie A,FW,Álvaro Morata,5.249281288952515
Atlético Madrid,es La Liga,FW,Luis Suárez,5.154932170616943
Dortmund,de Bundesliga,MFFW,Marco Reus,5.124249130289742
Crystal Palace,eng Premier League,FW,Christian Benteke,5.074707903509315
Torino,it Serie A,FW,Andrea Belotti,5.065801803071823
Manchester City,eng Premier League,FW,Riyad Mahrez,5.010940556825549
Manchester Utd,eng Premier League,FW,Marcus Rashford,4.990666176161235
Hoffenheim,de Bundesliga,FW,Ihlas Bebou,4.9421242199966855
Sassuolo,it Serie A,FWMF,Domenico Berardi,4.937219881233696
Lyon,fr Ligue 1,FW,Tino Kadewere,4.932980490387695
Stuttgart,de Bundesliga,FW,Sasa Kalajdzic,4.931721560273627
Roma,it Serie A,FWMF,Henrikh Mkhitaryan,4.91700682145273
Leverkusen,de Bundesliga,FWMF,Leon Bailey,4.9113795809396885
Leeds United,eng Premier League,FW,Patrick Bamford,4.8826254000086
Leverkusen,de Bundesliga,FW,Patrik Schick,4.806182499312317
