Club,League,Position,Player,Statscore
Dortmund,de Bundesliga,FWMF,Jadon Sancho,9.449101395849404
RB Leipzig,de Bundesliga,FWMF,Christopher Nkunku,8.200616164025202
Leeds United,eng Premier League,MF,Raphael Dias Belloli,8.035219779492484
Chelsea,eng Premier League,MFFW,Mason Mount,7.173584881879802
Leverkusen,de Bundesliga,FWMF,Leon Bailey,6.682904472115863
RB Leipzig,de Bundesliga,MFFW,Dani Olmo,6.546808315587058
Leverkusen,de Bundesliga,FWMF,Moussa Diaby,6.413133223955212
Juventus,it Serie A,MFFW,Dejan Kulusevski,6.2263129892423486
Lyon,fr Ligue 1,MF,Lucas Paquetá,6.167770177785144
Hertha BSC,de Bundesliga,FWMF,Matheus Cunha,6.07634163642987
Wolves,eng Premier League,FWMF,Pedro Neto,5.999766903076788
Brest,fr Ligue 1,MFFW,Romain Faivre,5.890216015428603
Dortmund,de Bundesliga,FWMF,Gio Reyna,5.880217010706217
Angers,fr Ligue 1,MF,Angelo Fulgini,5.840081910067023
Leicester City,eng Premier League,MFFW,James Maddison,5.828200363432393
Rennes,fr Ligue 1,MFFW,Jeremy Doku,5.792337359271676
Fulham,eng Premier League,FWMF,Ademola Lookman,5.787252248867071
Nice,fr Ligue 1,FWMF,Amine Gouiri,5.731342408507682
Leicester City,eng Premier League,FWMF,Harvey Barnes,5.603278206288543
Valencia,es La Liga,MFFW,Gonçalo Guedes,5.495858324183515
