Club,League,Position,Player,Statscore
Sassuolo,it Serie A,MF,Manuel Locatelli,8.229100550820476
Wolves,eng Premier League,MF,Rúben Neves,8.146427257337828
Leicester City,eng Premier League,MFDF,Wilfred Ndidi,7.998190758622034
Juventus,it Serie A,MF,Rodrigo Bentancur,7.852320749820877
Monaco,fr Ligue 1,MF,Aurélien Tchouaméni,7.58314371916436
Bordeaux,fr Ligue 1,MF,Yacine Adli,7.228302315481098
Sheffield Utd,eng Premier League,DFMF,Ethan Ampadu,7.1670404068037294
Marseille,fr Ligue 1,MF,Boubacar Kamara,7.095279362991181
Leeds United,eng Premier League,DFMF,Pascal Struijk,7.036254594453835
Lille,fr Ligue 1,MF,Boubakary Soumaré,6.9852402343601065
Manchester Utd,eng Premier League,MF,Scott McTominay,6.9765520563323795
Eint Frankfurt,de Bundesliga,MF,Djibril Sow,6.801671677058669
Lens,fr Ligue 1,MF,Cheick Doucouré,6.712836122596953
Marseille,fr Ligue 1,MF,Pape Gueye,6.686258205405567
Monaco,fr Ligue 1,MF,Youssouf Fofana,6.663908858622011
Wolfsburg,de Bundesliga,MF,Xaver Schlager,6.6534594831799705
Rennes,fr Ligue 1,MF,Eduardo Camavinga,6.629062838722349
Lyon,fr Ligue 1,MF,Lucas Paquetá,6.5660356227892205
M'Gladbach,de Bundesliga,MF,Florian Neuhaus,6.537848578747344
Bologna,it Serie A,MF,Jerdy Schouten,6.512100503029927
RB Leipzig,de Bundesliga,DFMF,Tyler Adams,6.5119727068351985
Reims,fr Ligue 1,MF,Moreto Cassamã,6.5083565524168865
Hertha BSC,de Bundesliga,MF,Lucas Tousart,6.422843015940467
West Ham,eng Premier League,MF,Declan Rice,6.395493726106586
Brighton,eng Premier League,MF,Yves Bissouma,6.375779989699952
Leicester City,eng Premier League,MF,Youri Tielemans,6.342785084812798
Aston Villa,eng Premier League,MF,Douglas Luiz,6.335743776368663
Milan,it Serie A,MF,Franck Kessié,6.324710694657775
Nîmes,fr Ligue 1,MF,Lamine Fomba,6.2904568273855315
Real Sociedad,es La Liga,MF,Martín Zubimendi,6.273971615702817
