Club,League,Position,Player,Statscore
Manchester City,eng Premier League,MF,Kevin De Bruyne,7.466789959187826
Aston Villa,eng Premier League,FWMF,Jack Grealish,6.73020323878654
Liverpool,eng Premier League,MF,Thiago Alcántara,6.720512227868644
Chelsea,eng Premier League,MF,Mateo Kovačić,6.6633341998672675
Chelsea,eng Premier League,MFFW,Mason Mount,6.063697459033784
Manchester Utd,eng Premier League,MF,Bruno Fernandes,5.724034958042306
Manchester City,eng Premier League,MFFW,Bernardo Silva,5.668050062427629
Manchester City,eng Premier League,MF,İlkay Gündoğan,5.630657779993691
Manchester City,eng Premier League,MF,Rodri,5.5637790147390245
Leeds United,eng Premier League,MF,Raphael Dias Belloli,5.561441830364987
Manchester Utd,eng Premier League,MF,Fred,5.175036608582576
Arsenal,eng Premier League,MFDF,Granit Xhaka,5.062983716348222
Manchester Utd,eng Premier League,MFFW,Paul Pogba,5.006295008467949
Chelsea,eng Premier League,MF,Jorginho,5.0027314698202465
Fulham,eng Premier League,MF,Andre-Frank Zambo Anguissa,4.88154537088565
Tottenham,eng Premier League,MF,Tanguy Ndombele,4.839163299346588
Leeds United,eng Premier League,MF,Mateusz Klich,4.794058026097756
Wolves,eng Premier League,MF,Rúben Neves,4.781015372041197
Wolves,eng Premier League,FWMF,Pedro Neto,4.740982976508175
Leicester City,eng Premier League,MFFW,James Maddison,4.7044896602445805
