Club,League,Position,Player,Statscore
Liverpool,eng Premier League,MF,Thiago Alcántara,8.803148684617668
Manchester City,eng Premier League,MF,Rodri,8.639861369733927
Wolves,eng Premier League,MF,Rúben Neves,8.146427257337828
Manchester Utd,eng Premier League,MF,Fred,8.06308871407597
Leicester City,eng Premier League,MFDF,Wilfred Ndidi,7.998190758622034
Chelsea,eng Premier League,MF,N'Golo Kanté,7.834770090859264
Tottenham,eng Premier League,MF,Pierre Højbjerg,7.820140629744972
Chelsea,eng Premier League,MF,Jorginho,7.644612063075926
Arsenal,eng Premier League,MFDF,Granit Xhaka,7.6430695224218965
Leeds United,eng Premier League,MF,Kalvin Phillips,7.566742008310267
Chelsea,eng Premier League,MF,Mateo Kovačić,7.481778895754509
Everton,eng Premier League,MF,Allan,7.259867830066011
Liverpool,eng Premier League,DFMF,Fabinho,7.230806527251341
Sheffield Utd,eng Premier League,DFMF,Ethan Ampadu,7.1670404068037294
Fulham,eng Premier League,MF,Harrison Reed,7.157062247817318
Leeds United,eng Premier League,DFMF,Pascal Struijk,7.036254594453835
Manchester Utd,eng Premier League,MF,Scott McTominay,6.9765520563323795
Fulham,eng Premier League,MF,Andre-Frank Zambo Anguissa,6.606328066382317
Crystal Palace,eng Premier League,MF,Luka Milivojević,6.49505580771023
Sheffield Utd,eng Premier League,MF,Oliver Norwood,6.418052776338779
West Ham,eng Premier League,MF,Declan Rice,6.395493726106586
Brighton,eng Premier League,MF,Yves Bissouma,6.375779989699952
Leicester City,eng Premier League,MF,Youri Tielemans,6.342785084812798
Manchester Utd,eng Premier League,MFFW,Paul Pogba,6.340110971469926
Aston Villa,eng Premier League,MF,Douglas Luiz,6.335743776368663
Southampton,eng Premier League,MF,James Ward-Prowse,6.300822920143674
Manchester City,eng Premier League,MF,Kevin De Bruyne,6.224914364598144
Chelsea,eng Premier League,MFFW,Mason Mount,6.158822500527547
Leeds United,eng Premier League,DFMF,Stuart Dallas,6.072878955272985
West Ham,eng Premier League,MF,Tomáš Souček,6.006753517308732
