Player,Total_Cmp,Expected_xA,Long_Prog,Long_1/3,Long_PPA,Long_KP,SCA_SCA,GCA_GCA,Dribbles_Succ,Expected_npxG,Carries_1/3,Carries_CPA,Touches_Att 3rd,Touches_Att Pen,Standard_SoT,GCA Types_Drib
Lionel Messi,1989,10.8,317,259,145,77,241,38,149,39,192,49,1745,240,85,8
Kevin De Bruyne,1068,10.2,173,128,79,79,142,19,40,14.8,82,31,916,108,25,2
Ángel Di María,889,10.6,131,89,74,67,128,19,46,10.2,68,27,900,94,18,2
Jadon Sancho,1160,6.8,148,56,82,67,125,22,91,13.2,81,51,1064,134,15,1
Jack Grealish,864,8.6,168,84,72,83,150,21,61,8.6,91,80,817,177,17,0
Ruslan Malinovskyi,857,9.7,154,87,56,75,126,16,53,11.4,61,20,819,83,23,0
Christopher Nkunku,787,7.5,77,41,41,71,130,16,35,15.6,49,25,788,129,26,2
Luis Alberto,1520,8.2,290,262,90,82,144,5,50,10.6,141,17,931,67,29,1
Raphael Dias Belloli,794,9.1,152,90,48,75,133,20,74,14.399999999999999,47,34,791,154,30,3
Bruno Fernandes,1702,11.0,227,177,96,94,168,27,26,15.6,73,13,1339,132,40,0
Leroy Sané,616,6.4,67,37,37,36,86,21,74,11.2,40,21,690,131,21,1
Rodrigo De Paul,1532,10.0,264,182,97,89,164,20,112,8.6,145,14,1099,64,19,2
Thomas Müller,1132,11.5,133,95,62,90,143,29,35,12.8,52,14,1013,216,16,1
Joshua Kimmich,1790,6.6,230,214,58,67,117,17,22,5,59,5,737,35,14,0
Hakan Çalhanoğlu,1273,8.8,168,117,60,100,174,19,35,9.6,71,25,983,85,23,0
Mason Mount,1548,7.8,182,144,58,90,163,14,50,12,100,38,1115,147,26,1
İlkay Gündoğan,1553,4.5,118,140,35,42,82,10,29,15,65,15,728,92,21,3
Yannick Carrasco,779,5.6,92,34,42,44,88,17,62,12,59,50,743,137,25,3
Toni Kroos,1949,6.7,198,272,35,66,107,13,17,4.4,50,10,635,32,12,0
Domenico Berardi,988,5.2,164,63,97,57,129,17,30,17,58,33,936,125,30,0
