Squad           ,_Poss ,Total_Cmp ,Expected_xAG ,Long_Prog ,Long_1/3 ,Long_PPA ,Long_KP ,SCA_SCA ,GCA_GCA ,Dribbles_Succ ,Expected_npxG ,Carries_1/3 ,Carries_CPA ,Touches_Att 3rd ,Touches_Att Pen ,Standard_SoT ,GCA Types_Drib
Bayern Munich   , 61.1 ,    18505 ,        53.3 ,     1743 ,    1603 ,     471 ,    444 ,    940 ,    167 ,          480 ,        136.4 ,        603 ,        198 ,           7855 ,           1322 ,         220 ,            14
Barcelona       , 65.8 ,    25414 ,        57.4 ,     1796 ,    1904 ,     552 ,    443 ,   1011 ,    125 ,          505 ,        145.2 ,        850 ,        263 ,          10509 ,           1378 ,         228 ,            11
Manchester City , 63.9 ,    23578 ,        51.0 ,     1633 ,    1833 ,     447 ,    439 ,    986 ,    138 ,          485 ,        133.2 ,        809 ,        314 ,           9082 ,           1360 ,         213 ,            16
Atalanta        , 54.9 ,    18159 ,        55.8 ,     1924 ,    1506 ,     519 ,    474 ,   1028 ,    153 ,          422 ,        143.8 ,        682 ,        233 ,           8433 ,           1304 ,         225 ,            12
Paris S-G       , 63.5 ,    23091 ,        54.6 ,     1685 ,    1751 ,     448 ,    407 ,    918 ,    135 ,          517 ,        146.2 ,        735 ,        216 ,           8417 ,           1185 ,         203 ,            14
Dortmund        , 59.8 ,    18983 ,        51.0 ,     1528 ,    1293 ,     422 ,    374 ,    812 ,    125 ,          459 ,        125.8 ,        615 ,        202 ,           6970 ,           1125 ,         182 ,            10
Liverpool       , 62.4 ,    21527 ,        50.0 ,     1914 ,    1742 ,     552 ,    444 ,    936 ,     94 ,          421 ,        136.2 ,        695 ,        230 ,           8910 ,           1372 ,         201 ,             4
Lyon            , 54.9 ,    17819 ,        55.0 ,     1739 ,    1391 ,     423 ,    443 ,   1003 ,    138 ,          482 ,        152.8 ,        586 ,        216 ,           7071 ,           1193 ,         222 ,            12
Napoli          , 55.2 ,    18947 ,        45.5 ,     1431 ,    1335 ,     378 ,    480 ,   1051 ,    139 ,          360 ,        123   ,        579 ,        246 ,           6955 ,           1089 ,         220 ,            18
RB Leipzig      , 60.0 ,    17673 ,        44.7 ,     1588 ,    1410 ,     410 ,    408 ,    890 ,    100 ,          328 ,        116   ,        526 ,        156 ,           6795 ,           1062 ,         189 ,             8
Juventus        , 57.1 ,    19971 ,        51.4 ,     1555 ,    1438 ,     378 ,    456 ,   1000 ,    135 ,          412 ,        133.4 ,        625 ,        263 ,           6945 ,           1189 ,         204 ,             8
Real Madrid     , 59.7 ,    20825 ,        46.2 ,     1521 ,    1573 ,     440 ,    437 ,    924 ,    112 ,          460 ,        118.8 ,        712 ,        231 ,           8171 ,           1140 ,         166 ,             8
Chelsea         , 61.4 ,    21646 ,        42.4 ,     1528 ,    1440 ,     393 ,    443 ,    939 ,     97 ,          368 ,        112.8 ,        679 ,        246 ,           7810 ,           1131 ,         194 ,             5
Leverkusen      , 59.9 ,    18002 ,        33.8 ,     1344 ,    1228 ,     288 ,    347 ,    739 ,     89 ,          467 ,         90   ,        533 ,        172 ,           5846 ,            845 ,         169 ,            10
Manchester Utd  , 55.8 ,    18495 ,        40.5 ,     1502 ,    1364 ,     397 ,    402 ,    879 ,    122 ,          424 ,        103.8 ,        676 ,        180 ,           7891 ,           1043 ,         197 ,             6
Inter           , 52.4 ,    18514 ,        53.4 ,     1528 ,    1349 ,     430 ,    409 ,    876 ,    141 ,          261 ,        136   ,        544 ,        193 ,           6860 ,           1122 ,         197 ,             4
Roma            , 52.5 ,    17066 ,        49.2 ,     1385 ,    1253 ,     340 ,    394 ,    866 ,    116 ,          382 ,        125.8 ,        610 ,        222 ,           6029 ,            984 ,         192 ,             8
Eint Frankfurt  , 54.0 ,    14409 ,        43.1 ,     1421 ,    1087 ,     309 ,    351 ,    728 ,    117 ,          323 ,        100   ,        491 ,        163 ,           5621 ,            864 ,         159 ,             7
Milan           , 51.9 ,    16046 ,        43.4 ,     1343 ,    1165 ,     360 ,    392 ,    898 ,    128 ,          430 ,        113.2 ,        553 ,        176 ,           6269 ,           1030 ,         186 ,             7
Sassuolo        , 60.8 ,    20547 ,        35.5 ,     1428 ,    1437 ,     387 ,    378 ,    858 ,    100 ,          405 ,         97.6 ,        598 ,        171 ,           6909 ,            984 ,         166 ,             5
Monaco          , 56.0 ,    17905 ,        44.7 ,     1521 ,    1321 ,     376 ,    369 ,    783 ,    124 ,          340 ,        110.8 ,        497 ,        151 ,           6432 ,           1030 ,         161 ,             8
Rennes          , 59.5 ,    20158 ,        37.5 ,     1567 ,    1496 ,     322 ,    376 ,    809 ,     79 ,          402 ,         95.4 ,        590 ,        150 ,           7016 ,            969 ,         160 ,             8
Lazio           , 53.1 ,    17098 ,        40.2 ,     1469 ,    1428 ,     420 ,    388 ,    850 ,    100 ,          317 ,        104.8 ,        622 ,        146 ,           6576 ,            988 ,         174 ,             7
Stuttgart       , 51.5 ,    14259 ,        38.1 ,     1271 ,     985 ,     301 ,    342 ,    752 ,     98 ,          454 ,         94.2 ,        493 ,        147 ,           5116 ,            839 ,         153 ,             7
Leeds United    , 57.6 ,    15996 ,        42.5 ,     1409 ,    1111 ,     372 ,    390 ,    812 ,    108 ,          321 ,        109   ,        509 ,        157 ,           6094 ,            985 ,         196 ,             8
Villarreal      , 55.6 ,    17601 ,        40.5 ,     1372 ,    1226 ,     378 ,    313 ,    682 ,     96 ,          456 ,         96.6 ,        541 ,        168 ,           5884 ,            907 ,         149 ,            11
Hoffenheim      , 51.1 ,    14462 ,        35.9 ,     1337 ,    1061 ,     342 ,    313 ,    687 ,     90 ,          346 ,         94.6 ,        440 ,        116 ,           5541 ,            834 ,         150 ,             8
Atlético Madrid , 52.4 ,    16924 ,        37.8 ,     1477 ,    1260 ,     381 ,    339 ,    723 ,    117 ,          366 ,         93.6 ,        435 ,        152 ,           6275 ,            992 ,         179 ,             9
Lille           , 53.9 ,    18028 ,        36.1 ,     1527 ,    1482 ,     271 ,    358 ,    769 ,     97 ,          391 ,         92.4 ,        534 ,        149 ,           6538 ,            820 ,         174 ,             7
Sevilla         , 61.2 ,    19429 ,        34.8 ,     1299 ,    1320 ,     358 ,    372 ,    791 ,     85 ,          402 ,         91.2 ,        478 ,        139 ,           6490 ,            863 ,         136 ,             7
Arsenal         , 53.8 ,    17802 ,        36.6 ,     1340 ,    1318 ,     340 ,    323 ,    723 ,     95 ,          303 ,         98   ,        533 ,        191 ,           6662 ,            979 ,         141 ,             7
Wolfsburg       , 51.4 ,    13255 ,        37.6 ,     1286 ,     993 ,     297 ,    345 ,    702 ,     94 ,          282 ,         94.8 ,        452 ,        117 ,           5292 ,            809 ,         162 ,             4
M'Gladbach      , 51.9 ,    15337 ,        34.6 ,     1259 ,     960 ,     269 ,    323 ,    688 ,    100 ,          319 ,         94   ,        403 ,        164 ,           4878 ,            838 ,         163 ,             2
Leicester City  , 54.6 ,    16726 ,        33.1 ,     1247 ,    1164 ,     304 ,    347 ,    762 ,    111 ,          350 ,         93.8 ,        505 ,        135 ,           6207 ,            838 ,         172 ,             8
Aston Villa     , 48.1 ,    12779 ,        37.1 ,     1236 ,    1079 ,     352 ,    398 ,    839 ,     86 ,          394 ,         97   ,        429 ,        205 ,           6192 ,           1060 ,         179 ,             2
Tottenham       , 51.7 ,    16142 ,        35.5 ,     1181 ,    1081 ,     279 ,    307 ,    716 ,    110 ,          408 ,        101.4 ,        468 ,        135 ,           5317 ,            770 ,         166 ,            10
Bologna         , 50.9 ,    14811 ,        37.4 ,     1316 ,    1106 ,     278 ,    364 ,    787 ,     76 ,          374 ,        101   ,        506 ,        166 ,           5924 ,            868 ,         177 ,             1
