,,,,,,,,,SCA,,SCA Types,,,,,,GCA,,GCA Types,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
1,Ismael Aaneba,fr FRA,FWDF,Strasbourg,fr Ligue 1,21,1999,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,19.7,26,1.32,22,3,1,0,0,0,3,0.15,2,1,0,0,0,0,Matches
3,Issah Abbas,gh GHA,DFFW,Mainz 05,de Bundesliga,21,1998,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,32.1,11,0.34,10,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
5,Sabit Abdulai,gh GHA,MF,Getafe,es La Liga,21,1999,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
6,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,1992,14.7,28,1.91,18,4,2,0,2,2,1,0.07,1,0,0,0,0,0,Matches
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,1993,32.9,56,1.70,40,1,1,5,4,5,10,0.30,6,1,0,1,1,1,Matches
8,Charles Abi,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,20,2000,10.1,14,1.38,11,1,1,0,1,0,2,0.20,2,0,0,0,0,0,Matches
9,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,17,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
10,Pape Abou Cisse,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14.0,7,0.50,4,0,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches
11,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,13.6,2,0.15,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
12,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,22,1997,11.6,18,1.56,11,0,1,3,3,0,2,0.17,1,0,0,0,1,0,Matches
13,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,30,1990,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
14,Gennaro Acampora,it ITA,MFFW,Spezia,it Serie A,26,1994,4.9,6,1.22,5,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
15,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,31.3,32,1.02,27,1,0,2,0,2,4,0.13,4,0,0,0,0,0,Matches
16,Ragnar Ache,de GER,FWDF,Eint Frankfurt,de Bundesliga,22,1998,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
17,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,1991,25.9,58,2.24,39,11,5,2,0,1,4,0.15,2,1,0,1,0,0,Matches
18,Che Adams,sct SCO,FW,Southampton,eng Premier League,24,1996,29.6,66,2.23,48,0,1,6,8,3,8,0.27,7,0,0,0,1,0,Matches
19,Tyler Adams,us USA,DFMF,RB Leipzig,de Bundesliga,21,1999,20.6,27,1.31,23,0,0,0,3,1,3,0.15,2,0,0,0,0,1,Matches
20,Sargis Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,27,1993,5.3,22,4.13,15,1,1,2,3,0,6,1.13,3,0,0,2,1,0,Matches
21,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,1997,32.8,17,0.52,16,0,0,1,0,0,1,0.03,1,0,0,0,0,0,Matches
22,Bobby Adekanye,nl NED,FWMF,Cádiz,es La Liga,21,1999,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
