,,,,,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Brenden Aaronson,us USA,MFFW,Leeds United,eng Premier League,22-159,2000,21.6,34,13,11,18,5,12,35,34.3,23,35,3,32,2,36,6,1,Matches
2,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,19-216,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35-183,1987,28.0,66,40,38,27,1,32,40,80.0,8,55,20,35,51,117,99,1,Matches
4,Himad Abdelli,fr FRA,MFFW,Angers,fr Ligue 1,23-133,1999,14.0,40,21,14,20,6,19,33,57.6,14,18,1,17,15,55,9,0,Matches
5,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23-004,2000,26.0,39,22,14,21,4,22,39,56.4,17,30,7,23,26,65,17,0,Matches
6,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30-057,1993,17.2,69,41,46,21,2,25,60,41.7,35,30,6,24,18,87,23,0,Matches
7,Oliver Abildgaard,dk DEN,MFDF,Hellas Verona,it Serie A,26-293,1996,0.9,2,2,1,0,1,1,4,25.0,3,2,0,2,1,3,3,0,Matches
8,Matthis Abline,fr FRA,FW,Auxerre,fr Ligue 1,20-002,2003,6.7,3,1,0,2,1,0,5,0.0,5,5,1,4,1,4,1,0,Matches
9,Matthis Abline,fr FRA,FWMF,Rennes,fr Ligue 1,20-002,2003,1.2,1,1,0,0,1,1,1,100.0,0,1,0,1,2,3,1,0,Matches
10,Abner,br BRA,DF,Betis,es La Liga,22-307,2000,4.1,11,8,9,2,0,7,13,53.8,6,5,2,3,6,17,15,0,Matches
11,Zakaria Aboukhlal,ma MAR,FWMF,Toulouse,fr Ligue 1,23-040,2000,22.2,26,19,11,6,9,9,35,25.7,26,14,1,13,19,45,19,0,Matches
12,Tammy Abraham,eng ENG,FW,Roma,it Serie A,25-179,1997,19.4,12,7,3,5,4,3,12,25.0,9,10,4,6,3,15,10,0,Matches
13,Christian Acella,it ITA,MF,Cremonese,it Serie A,20-266,2002,0.2,1,0,1,0,0,0,2,0.0,2,0,0,0,0,1,0,0,Matches
14,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35-048,1988,17.8,24,12,16,4,4,15,20,75.0,5,13,7,6,23,47,53,0,Matches
15,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19-247,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
16,Mohamed Achi,fr FRA,FW,Nantes,fr Ligue 1,21-073,2002,0.4,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
17,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,31-153,1991,14.8,48,28,30,13,5,24,34,70.6,10,12,5,7,17,65,19,0,Matches
18,Che Adams,sct SCO,FW,Southampton,eng Premier League,26-260,1996,20.8,17,13,7,8,2,7,11,63.6,4,13,4,9,4,21,19,0,Matches
19,Tyler Adams,us USA,MF,Leeds United,eng Premier League,24-044,1999,24.0,89,46,44,35,10,50,77,64.9,27,48,8,40,35,124,29,0,Matches
20,Sargis Adamyan,am ARM,FWMF,Köln,de Bundesliga,29-311,1993,7.0,13,6,4,3,6,6,14,42.9,8,12,0,12,3,16,5,0,Matches
21,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,25-187,1997,13.2,14,6,11,2,1,6,10,60.0,4,11,8,3,14,28,70,1,Matches
22,Martin Adeline,fr FRA,MFFW,Reims,fr Ligue 1,19-118,2003,1.2,3,3,2,1,0,3,4,75.0,1,3,1,2,3,6,3,0,Matches
23,Karim Adeyemi,de GER,FWMF,Dortmund,de Bundesliga,21-071,2002,8.9,11,7,3,5,3,6,18,33.3,12,11,0,11,6,17,1,0,Matches
24,Amine Adli,fr FRA,FWMF,Leverkusen,de Bundesliga,22-324,2000,10.3,11,9,3,4,4,3,11,27.3,8,21,2,19,5,16,6,0,Matches
25,Yacine Adli,fr FRA,MFFW,Milan,it Serie A,22-244,2000,1.4,6,3,2,4,0,2,2,100.0,0,2,0,2,1,7,1,0,Matches
26,Michel Aebischer,ch SUI,FWMF,Bologna,it Serie A,26-083,1997,11.2,8,3,2,3,3,2,10,20.0,8,11,2,9,5,13,6,0,Matches
27,Felix Afena-Gyan,gh GHA,FWMF,Cremonese,it Serie A,20-070,2003,6.7,6,3,4,1,1,2,7,28.6,5,4,1,3,1,7,3,0,Matches
28,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,25-286,1997,18.9,51,32,39,11,1,30,44,68.2,14,22,9,13,23,74,80,2,Matches
29,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,22-094,2000,4.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
30,Lucien Agoume,fr FRA,MF,Troyes,fr Ligue 1,21-049,2002,7.2,26,13,11,9,6,11,16,68.8,5,6,1,5,15,41,14,0,Matches
31,Felix Agu,de GER,DFFW,Werder Bremen,de Bundesliga,23-184,1999,0.5,1,0,0,1,0,0,0,,0,1,1,0,0,1,0,0,Matches
32,Álvaro Aguado,es ESP,MF,Valladolid,es La Liga,26-333,1996,14.4,18,9,10,6,2,11,18,61.1,7,12,3,9,9,27,9,0,Matches
33,Kevin Agudelo,co COL,MFFW,Spezia,it Serie A,24-136,1998,19.9,58,29,16,24,18,20,50,40.0,30,33,5,28,9,67,6,0,Matches
34,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,27-000,1996,9.7,14,10,9,5,0,7,10,70.0,3,12,11,1,10,24,42,0,Matches
35,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,29-338,1993,9.6,16,6,7,4,5,6,15,40.0,9,6,0,6,14,30,23,1,Matches
36,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,eng Premier League,21-001,2002,1.0,3,2,3,0,0,1,3,33.3,2,2,0,2,0,3,0,0,Matches
37,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,21-001,2002,15.5,17,11,7,7,3,8,20,40.0,12,16,5,11,8,25,7,0,Matches
38,Amar Ahmed,se SWE,FW,Troyes,fr Ligue 1,19-039,2004,0.2,1,1,0,1,0,0,1,0.0,1,0,0,0,1,2,0,0,Matches
39,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,29-010,1994,11.8,27,18,10,14,3,10,24,41.7,14,16,0,16,22,49,8,0,Matches
40,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,27-182,1995,25.8,44,30,29,14,1,15,22,68.2,7,23,12,11,24,68,120,0,Matches
41,Ola Aina,ng NGA,DF,Torino,it Serie A,26-173,1996,9.0,15,11,5,7,3,8,14,57.1,6,11,2,9,9,24,26,0,Matches
42,Rayan Aït Nouri,dz ALG,DF,Wolves,eng Premier League,21-297,2001,11.5,33,20,25,7,1,9,14,64.3,5,3,0,3,9,42,27,0,Matches
43,Emanuel Aiwum,at AUT,DF,Cremonese,it Serie A,22-095,2000,14.4,46,27,27,17,2,27,38,71.1,11,20,12,8,22,68,44,1,Matches
44,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,24-347,1998,8.5,11,8,5,4,2,9,16,56.3,7,6,5,1,7,18,22,0,Matches
45,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,29-033,1994,8.6,5,4,1,4,0,3,9,33.3,6,3,1,2,2,7,7,0,Matches
46,Ludovic Ajorque,fr FRA,FW,Mainz 05,de Bundesliga,29-033,1994,7.2,2,2,1,1,0,0,3,0.0,3,6,2,4,0,2,5,0,Matches
47,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,27-254,1995,18.1,25,17,10,12,3,18,27,66.7,9,21,7,14,14,39,26,0,Matches
48,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,28-040,1995,16.8,22,8,13,7,2,9,13,69.2,4,15,7,8,16,38,35,0,Matches
49,Sergio Akieme,es ESP,DF,Almería,es La Liga,25-104,1997,23.5,27,16,19,6,2,12,18,66.7,6,22,6,16,13,40,37,0,Matches
