,,,,,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Brenden Aaronson,us USA,MFFW,Leeds United,eng Premier League,22-159,2000,21.6,2,0,0,12,47,5,56,2,13,0,0,0,108,7,29,19.4,Matches
2,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,19-216,2003,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35-183,1987,28.0,3,0,0,36,19,1,4,51,40,0,0,0,201,64,35,64.6,Matches
4,Himad Abdelli,fr FRA,MFFW,Angers,fr Ligue 1,23-133,1999,14.0,1,0,0,26,15,1,14,15,21,0,0,0,101,12,15,44.4,Matches
5,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23-004,2000,26.0,4,0,0,64,35,0,8,26,22,0,0,1,167,10,15,40.0,Matches
6,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30-057,1993,17.2,3,0,0,13,19,0,5,18,41,0,0,0,129,4,10,28.6,Matches
7,Oliver Abildgaard,dk DEN,MFDF,Hellas Verona,it Serie A,26-293,1996,0.9,0,0,0,2,1,0,0,1,2,0,0,0,6,5,2,71.4,Matches
8,Matthis Abline,fr FRA,FW,Auxerre,fr Ligue 1,20-002,2003,6.7,0,0,0,9,7,4,5,1,1,1,0,0,11,9,17,34.6,Matches
9,Matthis Abline,fr FRA,FWMF,Rennes,fr Ligue 1,20-002,2003,1.2,0,0,0,3,5,1,2,2,1,1,0,0,2,1,4,20.0,Matches
10,Abner,br BRA,DF,Betis,es La Liga,22-307,2000,4.1,2,0,0,7,2,0,6,6,8,0,1,0,25,5,9,35.7,Matches
11,Zakaria Aboukhlal,ma MAR,FWMF,Toulouse,fr Ligue 1,23-040,2000,22.2,3,0,0,33,39,15,23,19,19,0,0,0,104,8,26,23.5,Matches
12,Tammy Abraham,eng ENG,FW,Roma,it Serie A,25-179,1997,19.4,1,0,0,26,39,10,6,3,7,1,0,0,35,56,51,52.3,Matches
13,Christian Acella,it ITA,MF,Cremonese,it Serie A,20-266,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
14,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35-048,1988,17.8,3,0,0,9,10,1,15,23,12,0,0,0,99,58,26,69.0,Matches
15,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19-247,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50.0,Matches
16,Mohamed Achi,fr FRA,FW,Nantes,fr Ligue 1,21-073,2002,0.4,0,0,0,2,0,0,1,0,1,0,0,0,2,0,0,,Matches
17,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,31-153,1991,14.8,8,1,0,24,27,1,102,17,28,0,1,0,102,22,15,59.5,Matches
18,Che Adams,sct SCO,FW,Southampton,eng Premier League,26-260,1996,20.8,1,0,0,36,21,11,11,4,13,0,0,0,47,57,99,36.5,Matches
19,Tyler Adams,us USA,MF,Leeds United,eng Premier League,24-044,1999,24.0,6,1,1,37,21,1,2,35,46,0,0,0,199,25,15,62.5,Matches
20,Sargis Adamyan,am ARM,FWMF,Köln,de Bundesliga,29-311,1993,7.0,3,0,0,16,5,4,13,3,6,0,0,0,36,11,25,30.6,Matches
21,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,25-187,1997,13.2,2,0,0,9,4,0,2,14,6,0,0,0,64,27,6,81.8,Matches
22,Martin Adeline,fr FRA,MFFW,Reims,fr Ligue 1,19-118,2003,1.2,2,0,0,5,0,0,0,3,3,0,0,0,11,6,5,54.5,Matches
23,Karim Adeyemi,de GER,FWMF,Dortmund,de Bundesliga,21-071,2002,8.9,5,0,0,11,18,0,15,6,7,0,0,0,43,7,2,77.8,Matches
24,Amine Adli,fr FRA,FWMF,Leverkusen,de Bundesliga,22-324,2000,10.3,1,1,0,28,31,4,14,5,9,2,1,0,37,19,28,40.4,Matches
25,Yacine Adli,fr FRA,MFFW,Milan,it Serie A,22-244,2000,1.4,1,0,0,4,1,1,4,1,3,0,0,0,6,0,3,0.0,Matches
26,Michel Aebischer,ch SUI,FWMF,Bologna,it Serie A,26-083,1997,11.2,3,0,0,14,16,7,17,5,3,1,1,0,54,5,16,23.8,Matches
27,Felix Afena-Gyan,gh GHA,FWMF,Cremonese,it Serie A,20-070,2003,6.7,2,0,0,14,7,4,4,1,3,0,0,0,26,12,27,30.8,Matches
28,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,25-286,1997,18.9,3,2,0,20,5,0,0,23,32,0,0,0,160,37,26,58.7,Matches
29,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,22-094,2000,4.5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,,Matches
30,Lucien Agoume,fr FRA,MF,Troyes,fr Ligue 1,21-049,2002,7.2,4,0,0,20,8,1,8,15,13,0,0,0,47,26,10,72.2,Matches
31,Felix Agu,de GER,DFFW,Werder Bremen,de Bundesliga,23-184,1999,0.5,0,0,0,3,3,0,1,0,0,0,1,0,3,1,1,50.0,Matches
32,Álvaro Aguado,es ESP,MF,Valladolid,es La Liga,26-333,1996,14.4,3,0,0,8,19,0,38,9,9,0,1,0,83,12,14,46.2,Matches
33,Kevin Agudelo,co COL,MFFW,Spezia,it Serie A,24-136,1998,19.9,3,0,0,30,32,2,26,9,29,0,0,0,111,14,24,36.8,Matches
34,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,27-000,1996,9.7,3,0,0,5,5,1,0,10,10,0,0,0,52,19,14,57.6,Matches
35,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,29-338,1993,9.6,2,0,0,12,13,1,25,14,6,0,0,0,56,10,13,43.5,Matches
36,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,eng Premier League,21-001,2002,1.0,1,0,0,2,0,2,2,0,2,0,0,0,8,0,1,0.0,Matches
37,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,21-001,2002,15.5,4,1,1,16,17,1,6,8,11,0,1,0,88,7,16,30.4,Matches
38,Amar Ahmed,se SWE,FW,Troyes,fr Ligue 1,19-039,2004,0.2,0,0,0,1,1,0,0,1,1,0,0,0,2,0,3,0.0,Matches
