,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Outcomes,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
1,Brenden Aaronson,us USA,MFFW,Leeds United,eng Premier League,22-159,2000,21.6,661,596,65,19,6,0,56,5,33,15,12,1,491,0,20,Matches
2,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,19-216,2003,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35-183,1987,28.0,1448,1335,108,94,0,21,4,6,0,0,0,0,1189,5,16,Matches
4,Himad Abdelli,fr FRA,MFFW,Angers,fr Ligue 1,23-133,1999,14.0,687,669,16,4,4,2,14,8,0,0,0,0,558,2,14,Matches
5,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23-004,2000,26.0,1638,1592,38,36,4,4,8,2,0,0,0,0,1502,8,13,Matches
6,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30-057,1993,17.2,867,838,27,25,6,3,5,1,1,0,0,0,756,2,8,Matches
7,Oliver Abildgaard,dk DEN,MFDF,Hellas Verona,it Serie A,26-293,1996,0.9,22,22,0,0,0,0,0,0,0,0,0,0,11,0,0,Matches
8,Matthis Abline,fr FRA,FW,Auxerre,fr Ligue 1,20-002,2003,6.7,82,73,9,0,0,0,5,0,0,0,0,0,56,0,2,Matches
9,Matthis Abline,fr FRA,FWMF,Rennes,fr Ligue 1,20-002,2003,1.2,15,15,0,0,1,0,2,0,0,0,0,0,7,0,1,Matches
10,Abner,br BRA,DF,Betis,es La Liga,22-307,2000,4.1,212,165,46,1,0,2,6,45,0,0,0,0,157,1,9,Matches
11,Zakaria Aboukhlal,ma MAR,FWMF,Toulouse,fr Ligue 1,23-040,2000,22.2,599,580,16,1,1,0,23,15,0,0,0,0,426,3,41,Matches
12,Tammy Abraham,eng ENG,FW,Roma,it Serie A,25-179,1997,19.4,394,361,30,1,2,2,6,1,0,0,0,0,269,3,5,Matches
13,Christian Acella,it ITA,MF,Cremonese,it Serie A,20-266,2002,0.2,9,9,0,0,0,0,0,0,0,0,0,0,9,0,0,Matches
14,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35-048,1988,17.8,1120,1063,54,35,1,9,15,10,0,0,0,0,980,3,3,Matches
15,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19-247,2003,0.1,8,7,1,0,0,0,0,0,0,0,0,0,7,0,0,Matches
16,Mohamed Achi,fr FRA,FW,Nantes,fr Ligue 1,21-073,2002,0.4,21,20,1,0,0,0,1,0,1,0,1,0,18,0,0,Matches
17,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,31-153,1991,14.8,944,755,188,39,3,11,102,122,27,5,17,0,708,1,15,Matches
18,Che Adams,sct SCO,FW,Southampton,eng Premier League,26-260,1996,20.8,460,452,7,0,6,7,11,4,0,0,0,0,303,1,17,Matches
19,Tyler Adams,us USA,MF,Leeds United,eng Premier League,24-044,1999,24.0,1343,1271,72,58,1,2,2,14,0,0,0,0,1108,0,24,Matches
20,Sargis Adamyan,am ARM,FWMF,Köln,de Bundesliga,29-311,1993,7.0,172,152,19,0,1,1,13,6,0,0,0,0,118,1,7,Matches
21,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,25-187,1997,13.2,652,621,27,22,0,6,2,4,0,0,0,0,526,4,8,Matches
22,Martin Adeline,fr FRA,MFFW,Reims,fr Ligue 1,19-118,2003,1.2,41,38,3,1,0,0,0,1,1,0,0,0,29,0,1,Matches
23,Karim Adeyemi,de GER,FWMF,Dortmund,de Bundesliga,21-071,2002,8.9,287,274,12,3,0,1,15,4,5,5,0,0,210,1,13,Matches
24,Amine Adli,fr FRA,FWMF,Leverkusen,de Bundesliga,22-324,2000,10.3,361,340,16,2,2,2,14,4,7,2,2,0,271,5,14,Matches
25,Yacine Adli,fr FRA,MFFW,Milan,it Serie A,22-244,2000,1.4,65,63,2,1,0,1,4,1,0,0,0,0,43,0,4,Matches
26,Michel Aebischer,ch SUI,FWMF,Bologna,it Serie A,26-083,1997,11.2,453,429,21,8,0,3,17,8,4,1,3,0,370,3,12,Matches
27,Felix Afena-Gyan,gh GHA,FWMF,Cremonese,it Serie A,20-070,2003,6.7,143,140,3,0,0,1,4,2,0,0,0,0,109,0,4,Matches
28,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,25-286,1997,18.9,964,920,41,38,4,14,0,2,0,0,0,0,823,3,8,Matches
29,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,22-094,2000,4.5,149,102,47,4,0,0,0,0,0,0,0,0,98,0,0,Matches
30,Lucien Agoume,fr FRA,MF,Troyes,fr Ligue 1,21-049,2002,7.2,433,416,15,10,2,6,8,1,4,3,0,0,342,2,10,Matches
31,Felix Agu,de GER,DFFW,Werder Bremen,de Bundesliga,23-184,1999,0.5,25,19,6,0,0,0,1,6,0,0,0,0,16,0,2,Matches
32,Álvaro Aguado,es ESP,MF,Valladolid,es La Liga,26-333,1996,14.4,777,714,62,36,3,29,38,3,23,1,16,0,641,1,9,Matches
33,Kevin Agudelo,co COL,MFFW,Spezia,it Serie A,24-136,1998,19.9,591,572,14,2,3,1,26,4,5,3,2,0,431,5,30,Matches
34,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,27-000,1996,9.7,422,407,11,11,0,9,0,0,0,0,0,0,336,4,2,Matches
35,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,29-338,1993,9.6,599,499,99,10,0,1,25,89,0,0,0,0,488,1,12,Matches
36,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,eng Premier League,21-001,2002,1.0,46,45,1,0,0,0,2,0,0,0,0,0,37,0,0,Matches
37,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,21-001,2002,15.5,529,514,13,4,2,1,6,5,0,0,0,0,449,2,13,Matches
38,Amar Ahmed,se SWE,FW,Troyes,fr Ligue 1,19-039,2004,0.2,10,10,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
39,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,29-010,1994,11.8,473,460,13,10,3,6,5,1,0,0,0,0,353,0,9,Matches
40,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,27-182,1995,25.8,1229,1197,29,27,0,4,0,2,0,0,0,0,1048,3,11,Matches
41,Ola Aina,ng NGA,DF,Torino,it Serie A,26-173,1996,9.0,498,392,102,8,0,1,31,91,3,0,0,0,370,4,16,Matches
42,Rayan Aït Nouri,dz ALG,DF,Wolves,eng Premier League,21-297,2001,11.5,552,464,86,5,0,2,21,78,3,1,2,0,446,2,16,Matches
43,Emanuel Aiwum,at AUT,DF,Cremonese,it Serie A,22-095,2000,14.4,640,552,86,20,1,5,4,57,0,0,0,0,498,2,10,Matches
44,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,24-347,1998,8.5,345,293,51,7,0,4,6,44,0,0,0,0,259,1,8,Matches
