,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Brenden Aaronson,us USA,MFFW,Leeds United,eng Premier League,22-159,2000,21.6,1,35,6,17.1,1.62,0.28,0.03,0.17,19.1,2,0,0,2.9,2.9,0.08,-1.9,-1.9,Matches
2,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,19-216,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35-183,1987,28.0,1,24,2,8.3,0.86,0.07,0.04,0.50,15.3,0,0,0,1.8,1.8,0.08,-0.8,-0.8,Matches
4,Himad Abdelli,fr FRA,MFFW,Angers,fr Ligue 1,23-133,1999,14.0,0,11,3,27.3,0.79,0.21,0.00,0.00,19.5,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches
5,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23-004,2000,26.0,1,12,3,25.0,0.46,0.12,0.08,0.33,20.3,0,0,0,0.8,0.8,0.07,+0.2,+0.2,Matches
6,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30-057,1993,17.2,0,8,1,12.5,0.46,0.06,0.00,0.00,23.1,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
7,Oliver Abildgaard,dk DEN,MFDF,Hellas Verona,it Serie A,26-293,1996,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
8,Matthis Abline,fr FRA,FW,Auxerre,fr Ligue 1,20-002,2003,6.7,2,14,5,35.7,2.10,0.75,0.07,0.20,22.5,0,1,2,2.8,1.3,0.09,-0.8,-0.3,Matches
9,Matthis Abline,fr FRA,FWMF,Rennes,fr Ligue 1,20-002,2003,1.2,1,6,2,33.3,5.05,1.68,0.17,0.50,12.2,0,0,0,0.8,0.8,0.13,+0.2,+0.2,Matches
10,Abner,br BRA,DF,Betis,es La Liga,22-307,2000,4.1,0,3,1,33.3,0.74,0.25,0.00,0.00,9.5,0,0,0,1.1,1.1,0.37,-1.1,-1.1,Matches
11,Zakaria Aboukhlal,ma MAR,FWMF,Toulouse,fr Ligue 1,23-040,2000,22.2,6,61,20,32.8,2.75,0.90,0.10,0.30,17.3,0,0,0,7.6,7.6,0.12,-1.6,-1.6,Matches
12,Tammy Abraham,eng ENG,FW,Roma,it Serie A,25-179,1997,19.4,6,49,23,46.9,2.53,1.19,0.12,0.26,11.6,0,0,0,9.5,9.5,0.19,-3.5,-3.5,Matches
13,Christian Acella,it ITA,MF,Cremonese,it Serie A,20-266,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
14,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35-048,1988,17.8,0,11,2,18.2,0.62,0.11,0.00,0.00,16.3,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
15,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19-247,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
16,Mohamed Achi,fr FRA,FW,Nantes,fr Ligue 1,21-073,2002,0.4,0,1,0,0.0,2.50,0.00,0.00,,26.1,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
17,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,31-153,1991,14.8,2,17,4,23.5,1.15,0.27,0.12,0.50,26.5,1,0,0,0.9,0.9,0.05,+1.1,+1.1,Matches
18,Che Adams,sct SCO,FW,Southampton,eng Premier League,26-260,1996,20.8,5,42,14,33.3,2.02,0.67,0.12,0.36,13.9,0,0,0,5.9,5.9,0.14,-0.9,-0.9,Matches
19,Tyler Adams,us USA,MF,Leeds United,eng Premier League,24-044,1999,24.0,0,4,0,0.0,0.17,0.00,0.00,,27.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
20,Sargis Adamyan,am ARM,FWMF,Köln,de Bundesliga,29-311,1993,7.0,1,21,11,52.4,2.99,1.56,0.05,0.09,14.0,0,0,0,3.4,3.4,0.16,-2.4,-2.4,Matches
21,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,25-187,1997,13.2,1,5,3,60.0,0.38,0.23,0.20,0.33,15.2,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches
22,Martin Adeline,fr FRA,MFFW,Reims,fr Ligue 1,19-118,2003,1.2,0,1,0,0.0,0.84,0.00,0.00,,25.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
23,Karim Adeyemi,de GER,FWMF,Dortmund,de Bundesliga,21-071,2002,8.9,3,20,9,45.0,2.25,1.01,0.15,0.33,17.4,0,0,0,2.5,2.5,0.13,+0.5,+0.5,Matches
24,Amine Adli,fr FRA,FWMF,Leverkusen,de Bundesliga,22-324,2000,10.3,2,18,6,33.3,1.76,0.59,0.11,0.33,13.2,0,0,0,2.4,2.4,0.13,-0.4,-0.4,Matches
25,Yacine Adli,fr FRA,MFFW,Milan,it Serie A,22-244,2000,1.4,0,2,2,100.0,1.45,1.45,0.00,0.00,18.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
26,Michel Aebischer,ch SUI,FWMF,Bologna,it Serie A,26-083,1997,11.2,1,11,2,18.2,0.98,0.18,0.09,0.50,16.6,1,0,0,1.1,1.1,0.10,-0.1,-0.1,Matches
27,Felix Afena-Gyan,gh GHA,FWMF,Cremonese,it Serie A,20-070,2003,6.7,0,15,1,6.7,2.23,0.15,0.00,0.00,18.7,0,0,0,1.3,1.3,0.09,-1.3,-1.3,Matches
28,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,25-286,1997,18.9,0,17,3,17.6,0.90,0.16,0.00,0.00,15.4,0,0,0,1.5,1.5,0.09,-1.5,-1.5,Matches
29,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,22-094,2000,4.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
30,Lucien Agoume,fr FRA,MF,Troyes,fr Ligue 1,21-049,2002,7.2,0,5,1,20.0,0.70,0.14,0.00,0.00,16.5,0,0,0,0.5,0.5,0.10,-0.5,-0.5,Matches
31,Felix Agu,de GER,DFFW,Werder Bremen,de Bundesliga,23-184,1999,0.5,0,1,0,0.0,1.84,0.00,0.00,,15.9,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
32,Álvaro Aguado,es ESP,MF,Valladolid,es La Liga,26-333,1996,14.4,1,12,4,33.3,0.83,0.28,0.08,0.25,24.6,0,0,0,0.6,0.6,0.05,+0.4,+0.4,Matches
33,Kevin Agudelo,co COL,MFFW,Spezia,it Serie A,24-136,1998,19.9,0,20,5,25.0,1.01,0.25,0.00,0.00,20.0,0,0,0,1.2,1.2,0.06,-1.2,-1.2,Matches
34,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,27-000,1996,9.7,0,6,0,0.0,0.62,0.00,0.00,,8.9,0,0,0,1.2,1.2,0.20,-1.2,-1.2,Matches
