,,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,Brenden Aaronson,us USA,MFFW,Leeds United,eng Premier League,22-159,2000,26,23,1948,21.6,1,2,3,1,0,0,2,0,2.9,2.9,3.7,6.6,36,72,120,0.05,0.09,0.14,0.05,0.14,0.14,0.17,0.31,0.14,0.31,Matches
2,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,19-216,2003,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35-183,1987,28,28,2520,28.0,1,1,2,1,0,0,3,0,1.8,1.8,0.4,2.2,20,147,5,0.04,0.04,0.07,0.04,0.07,0.06,0.02,0.08,0.06,0.08,Matches
4,Himad Abdelli,fr FRA,MFFW,Angers,fr Ligue 1,23-133,1999,20,14,1261,14.0,0,0,0,0,0,0,1,0,0.9,0.9,1.9,2.8,34,84,74,0.00,0.00,0.00,0.00,0.00,0.06,0.14,0.20,0.06,0.20,Matches
5,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23-004,2000,26,26,2336,26.0,1,1,2,1,0,0,4,0,0.8,0.8,1.5,2.3,28,140,37,0.04,0.04,0.08,0.04,0.08,0.03,0.06,0.09,0.03,0.09,Matches
6,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30-057,1993,20,19,1551,17.2,0,1,1,0,0,0,3,0,0.4,0.4,1.1,1.4,8,90,10,0.00,0.06,0.06,0.00,0.06,0.02,0.06,0.08,0.02,0.08,Matches
7,Oliver Abildgaard,dk DEN,MFDF,Hellas Verona,it Serie A,26-293,1996,4,0,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,Matches
8,Matthis Abline,fr FRA,FW,Auxerre,fr Ligue 1,20-002,2003,10,7,600,6.7,2,1,3,1,1,2,0,0,2.8,1.3,0.4,1.7,11,7,32,0.30,0.15,0.45,0.15,0.30,0.43,0.07,0.49,0.19,0.26,Matches
9,Matthis Abline,fr FRA,FWMF,Rennes,fr Ligue 1,20-002,2003,11,0,107,1.2,1,0,1,1,0,0,0,0,0.8,0.8,0.3,1.0,4,2,11,0.84,0.00,0.84,0.84,0.84,0.65,0.22,0.87,0.65,0.87,Matches
10,Abner,br BRA,DF,Betis,es La Liga,22-307,2000,7,5,366,4.1,0,0,0,0,0,0,2,0,1.1,1.1,0.1,1.2,4,11,16,0.00,0.00,0.00,0.00,0.00,0.27,0.03,0.30,0.27,0.30,Matches
11,Zakaria Aboukhlal,ma MAR,FWMF,Toulouse,fr Ligue 1,23-040,2000,28,23,1995,22.2,6,5,11,6,0,0,3,0,7.6,7.6,2.8,10.4,72,57,209,0.27,0.23,0.50,0.27,0.50,0.34,0.13,0.47,0.34,0.47,Matches
12,Tammy Abraham,eng ENG,FW,Roma,it Serie A,25-179,1997,27,20,1743,19.4,6,3,9,6,0,0,1,0,9.5,9.5,2.9,12.3,27,39,100,0.31,0.15,0.46,0.31,0.46,0.49,0.15,0.64,0.49,0.64,Matches
13,Christian Acella,it ITA,MF,Cremonese,it Serie A,20-266,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
14,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35-048,1988,20,17,1605,17.8,0,1,1,0,0,0,3,0,0.6,0.6,0.6,1.2,23,76,17,0.00,0.06,0.06,0.00,0.06,0.03,0.04,0.07,0.03,0.07,Matches
15,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19-247,2003,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
16,Mohamed Achi,fr FRA,FW,Nantes,fr Ligue 1,21-073,2002,2,0,36,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,2,3,1,0.00,0.00,0.00,0.00,0.00,0.30,0.08,0.39,0.30,0.39,Matches
17,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,31-153,1991,21,15,1328,14.8,2,1,3,2,0,0,8,1,0.9,0.9,2.4,3.3,31,81,63,0.14,0.07,0.20,0.14,0.20,0.06,0.16,0.22,0.06,0.22,Matches
18,Che Adams,sct SCO,FW,Southampton,eng Premier League,26-260,1996,25,22,1873,20.8,5,3,8,5,0,0,1,0,5.9,5.9,2.8,8.7,14,30,96,0.24,0.14,0.38,0.24,0.38,0.28,0.13,0.42,0.28,0.42,Matches
19,Tyler Adams,us USA,MF,Leeds United,eng Premier League,24-044,1999,24,24,2156,24.0,0,0,0,0,0,0,6,1,0.1,0.1,1.4,1.5,19,136,20,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches
20,Sargis Adamyan,am ARM,FWMF,Köln,de Bundesliga,29-311,1993,22,4,633,7.0,1,2,3,1,0,0,3,0,3.4,3.4,0.8,4.1,11,23,57,0.14,0.28,0.43,0.14,0.43,0.48,0.11,0.59,0.48,0.59,Matches
21,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,25-187,1997,15,13,1185,13.2,1,0,1,1,0,0,2,0,0.2,0.2,0.0,0.2,7,40,1,0.08,0.00,0.08,0.08,0.08,0.02,0.00,0.02,0.02,0.02,Matches
22,Martin Adeline,fr FRA,MFFW,Reims,fr Ligue 1,19-118,2003,5,0,107,1.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,1,3,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
23,Karim Adeyemi,de GER,FWMF,Dortmund,de Bundesliga,21-071,2002,16,12,799,8.9,3,2,5,3,0,0,5,0,2.5,2.5,2.0,4.5,21,27,79,0.34,0.23,0.56,0.34,0.56,0.28,0.23,0.51,0.28,0.51,Matches
24,Amine Adli,fr FRA,FWMF,Leverkusen,de Bundesliga,22-324,2000,17,9,923,10.3,2,2,4,2,0,0,1,1,2.4,2.4,1.2,3.6,31,34,85,0.20,0.20,0.39,0.20,0.39,0.23,0.12,0.35,0.23,0.35,Matches
25,Yacine Adli,fr FRA,MFFW,Milan,it Serie A,22-244,2000,5,1,124,1.4,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,5,9,7,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.13,0.06,0.13,Matches
26,Michel Aebischer,ch SUI,FWMF,Bologna,it Serie A,26-083,1997,23,11,1011,11.2,1,0,1,1,0,0,3,0,1.1,1.1,0.5,1.6,10,32,60,0.09,0.00,0.09,0.09,0.09,0.10,0.05,0.15,0.10,0.15,Matches
27,Felix Afena-Gyan,gh GHA,FWMF,Cremonese,it Serie A,20-070,2003,16,5,605,6.7,0,0,0,0,0,0,2,0,1.3,1.3,0.1,1.5,18,6,44,0.00,0.00,0.00,0.00,0.00,0.20,0.02,0.22,0.20,0.22,Matches
28,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,25-286,1997,21,19,1705,18.9,0,2,2,0,0,0,3,2,1.5,1.5,1.6,3.1,11,64,5,0.00,0.11,0.11,0.00,0.11,0.08,0.09,0.16,0.08,0.16,Matches
29,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,22-094,2000,5,4,405,4.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
30,Lucien Agoume,fr FRA,MF,Troyes,fr Ligue 1,21-049,2002,9,8,646,7.2,0,1,1,0,0,0,4,0,0.5,0.5,1.0,1.5,5,54,5,0.00,0.14,0.14,0.00,0.14,0.07,0.14,0.21,0.07,0.21,Matches
31,Felix Agu,de GER,DFFW,Werder Bremen,de Bundesliga,23-184,1999,3,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,2,0.00,0.00,0.00,0.00,0.00,0.07,0.14,0.22,0.07,0.22,Matches
32,Álvaro Aguado,es ESP,MF,Valladolid,es La Liga,26-333,1996,24,13,1298,14.4,1,2,3,1,0,0,3,0,0.6,0.6,1.5,2.1,19,94,30,0.07,0.14,0.21,0.07,0.21,0.04,0.10,0.15,0.04,0.15,Matches
33,Kevin Agudelo,co COL,MFFW,Spezia,it Serie A,24-136,1998,26,21,1788,19.9,0,1,1,0,0,0,3,0,1.2,1.2,2.1,3.2,61,89,80,0.00,0.05,0.05,0.00,0.05,0.06,0.10,0.16,0.06,0.16,Matches
34,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,27-000,1996,10,9,875,9.7,0,0,0,0,0,0,3,0,1.2,1.2,0.1,1.3,1,15,4,0.00,0.00,0.00,0.00,0.00,0.12,0.01,0.13,0.12,0.13,Matches
35,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,29-338,1993,16,10,868,9.6,0,0,0,0,0,0,2,0,0.2,0.2,0.9,1.1,19,67,51,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.11,0.02,0.11,Matches
36,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,eng Premier League,21-001,2002,7,0,93,1.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.2,1,2,11,0.00,0.00,0.00,0.00,0.00,0.15,0.07,0.22,0.15,0.22,Matches
37,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,21-001,2002,17,17,1398,15.5,2,2,4,2,0,0,4,1,0.8,0.8,1.2,2.1,43,56,54,0.13,0.13,0.26,0.13,0.26,0.05,0.08,0.13,0.05,0.13,Matches
38,Amar Ahmed,se SWE,FW,Troyes,fr Ligue 1,19-039,2004,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
39,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,29-010,1994,22,13,1064,11.8,3,1,4,3,0,0,3,1,1.0,1.0,0.9,1.9,22,32,34,0.25,0.08,0.34,0.25,0.34,0.09,0.08,0.16,0.09,0.16,Matches
40,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,27-182,1995,26,26,2323,25.8,2,0,2,2,0,0,4,0,0.8,0.8,0.0,0.9,10,70,2,0.08,0.00,0.08,0.08,0.08,0.03,0.00,0.03,0.03,0.03,Matches
41,Ola Aina,ng NGA,DF,Torino,it Serie A,26-173,1996,16,9,807,9.0,1,1,2,1,0,0,5,0,0.7,0.7,2.0,2.8,33,39,41,0.11,0.11,0.22,0.11,0.22,0.08,0.23,0.31,0.08,0.31,Matches
42,Rayan Aït Nouri,dz ALG,DF,Wolves,eng Premier League,21-297,2001,20,9,1031,11.5,1,0,1,1,0,0,4,0,0.7,0.7,1.0,1.7,30,43,76,0.09,0.00,0.09,0.09,0.09,0.06,0.09,0.15,0.06,0.15,Matches
43,Emanuel Aiwum,at AUT,DF,Cremonese,it Serie A,22-095,2000,18,14,1299,14.4,0,0,0,0,0,0,3,0,0.2,0.2,0.4,0.6,18,40,7,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
