,,,,,,,,,SCA,,SCA Types,,,,,,GCA,,GCA Types,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
1,Brenden Aaronson,us USA,FWMF,Leeds United,eng Premier League,25-011,2000,7.1,22,3.10,14,0,2,4,1,1,3,0.42,1,0,0,2,0,0,Matches
2,Jones El-Abdellaoui,ma MAR,MFFW,Celta Vigo,es La Liga,19-294,2006,0.9,4,4.24,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
3,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,25-350,1999,4.9,16,3.29,11,3,1,1,0,0,2,0.41,2,0,0,0,0,0,Matches
4,Ali Abdi,tn TUN,DFMF,Nice,fr Ligue 1,31-317,1993,2.8,4,1.51,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
5,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25-221,2000,3.9,2,0.51,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
6,Saud Abdulhamid,sa KSA,DF,Lens,fr Ligue 1,26-107,1999,2.2,4,1.86,4,0,0,0,0,0,1,0.46,1,0,0,0,0,0,Matches
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,32-274,1993,9.9,24,2.44,21,1,0,1,1,0,1,0.10,1,0,0,0,0,0,Matches
8,Matthis Abline,fr FRA,FWMF,Nantes,fr Ligue 1,22-219,2003,7.9,33,4.16,20,0,6,4,3,0,3,0.38,0,0,2,1,0,0,Matches
9,Abner,br BRA,DF,Lyon,fr Ligue 1,25-159,2000,5.0,11,2.20,7,0,2,2,0,0,1,0.20,1,0,0,0,0,0,Matches
10,Zakaria Aboukhlal,ma MAR,FWMF,Torino,it Serie A,25-257,2000,1.3,2,1.51,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
11,Abdel Abqar,ma MAR,DF,Getafe,es La Liga,26-237,1999,4.8,2,0.42,1,0,0,0,1,0,1,0.21,1,0,0,0,0,0,Matches
12,Francis Abu,gh GHA,MF,Toulouse,fr Ligue 1,24-189,2001,5.1,6,1.17,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
13,Giorgi Abuashvili,ge GEO,FWDF,Metz,fr Ligue 1,22-267,2003,3.0,5,1.69,2,2,1,0,0,0,1,0.34,1,0,0,0,0,0,Matches
14,Francesco Acerbi,it ITA,DF,Inter,it Serie A,37-265,1988,5.9,5,0.85,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
15,Ragnar Ache,de GER,FWDF,Köln,de Bundesliga,27-097,1998,2.5,4,1.59,3,0,0,1,0,0,2,0.80,2,0,0,0,0,0,Matches
16,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,19-181,2006,3.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
17,Akor Adams,ng NGA,FW,Sevilla,es La Liga,25-277,2000,4.5,3,0.67,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
18,Che Adams,sct SCO,FWMF,Torino,it Serie A,29-112,1996,4.2,10,2.41,7,0,1,1,1,0,0,0.00,0,0,0,0,0,0,Matches
19,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,26-261,1999,8.7,8,0.92,7,0,0,0,0,1,2,0.23,1,0,0,0,0,1,Matches
20,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,24-149,2001,4.2,8,1.91,5,0,0,2,0,1,2,0.48,1,0,0,1,0,0,Matches
21,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,28-039,1997,4.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
22,Jayden Addai,nl NED,FW,Como,it Serie A,20-068,2005,2.9,4,1.36,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
23,Karim Adeyemi,de GER,MFFW,Dortmund,de Bundesliga,23-288,2002,5.3,24,4.52,16,0,6,0,2,0,3,0.56,2,0,1,0,0,0,Matches
24,Simon Adingra,ci CIV,FW,Sunderland,eng Premier League,23-305,2002,3.0,8,2.64,7,0,1,0,0,0,1,0.33,1,0,0,0,0,0,Matches
25,Amine Adli,ma MAR,FWMF,Bournemouth,eng Premier League,25-176,2000,2.1,8,3.83,5,0,1,0,1,1,0,0.00,0,0,0,0,0,0,Matches
26,Vasilije Adžić,me MNE,MF,Juventus,it Serie A,19-174,2006,1.3,5,3.75,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
27,Michel Aebischer,ch SUI,MF,Pisa,it Serie A,28-300,1997,7.5,19,2.54,14,3,1,0,0,1,1,0.13,1,0,0,0,0,0,Matches
28,David Affengruber,at AUT,DF,Elche,es La Liga,24-228,2001,8.4,4,0.48,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
29,Oladapo Afolayan,eng ENG,MFFW,St. Pauli,de Bundesliga,27-263,1998,1.7,7,4.23,5,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
30,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,28-138,1997,6.2,7,1.12,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
31,Julen Agirrezabala,es ESP,GK,Valencia,es La Liga,24-311,2000,11.0,2,0.18,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
32,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,23-266,2002,8.3,15,1.80,15,0,0,0,0,0,2,0.24,2,0,0,0,0,0,Matches
33,Felix Agu,ng NGA,DF,Werder Bremen,de Bundesliga,26-036,1999,5.4,6,1.12,6,0,0,0,0,0,1,0.19,1,0,0,0,0,0,Matches
34,Marc Aguado,es ESP,MF,Elche,es La Liga,25-253,2000,6.0,5,0.83,3,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
35,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,29-217,1996,2.0,2,1.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
36,Nayef Aguerd,ma MAR,DF,Marseille,fr Ligue 1,29-217,1996,7.0,5,0.71,5,0,0,0,0,0,2,0.29,2,0,0,0,0,0,Matches
37,Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,32-190,1993,8.1,24,2.94,21,1,0,1,1,0,2,0.25,1,0,0,1,0,0,Matches
38,Honest Ahanor,it ITA,DF,Atalanta,it Serie A,17-252,2008,4.2,1,0.24,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
39,Lucas Ahijado,es ESP,DF,Oviedo,es La Liga,30-276,1995,4.1,10,2.43,10,0,0,0,0,0,2,0.49,2,0,0,0,0,0,Matches
40,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,30-034,1995,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
41,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,29-025,1996,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
42,Abdelhamid Ait Boudlal,ma MAR,DFMF,Rennes,fr Ligue 1,19-200,2006,2.2,1,0.45,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
43,Rayan Aït-Nouri,dz ALG,DF,Manchester City,eng Premier League,24-149,2001,2.2,4,1.78,4,0,0,0,0,0,1,0.45,1,0,0,0,0,0,Matches
44,Tosin Aiyegun,bj BEN,MFFW,Lorient,fr Ligue 1,27-129,1998,5.6,12,2.13,8,0,1,2,1,0,1,0.18,0,0,1,0,0,0,Matches
45,Junior Ajayi,ci CIV,FW,Hellas Verona,it Serie A,21-022,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
46,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,27-199,1998,4.3,4,0.93,3,0,0,0,0,1,1,0.23,1,0,0,0,0,0,Matches
47,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,31-250,1994,9.9,28,2.82,18,0,0,6,4,0,5,0.50,3,0,0,1,1,0,Matches
