,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,Expected,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1,Brenden Aaronson,us USA,FWMF,Leeds United,eng Premier League,25-011,2000,7.1,143,178,80.3,2011,452,80,91,87.9,56,69,81.2,1,6,16.7,0,1.3,1.4,-1.3,10,11,9,4,20,Matches
2,Jones El-Abdellaoui,ma MAR,MFFW,Celta Vigo,es La Liga,19-294,2006,0.9,26,33,78.8,406,37,14,17,82.4,9,10,90.0,2,2,100.0,0,0.1,0.1,-0.1,2,1,1,1,0,Matches
3,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,25-350,1999,4.9,218,264,82.6,3713,1071,112,127,88.2,79,89,88.8,22,35,62.9,0,0.3,0.4,-0.3,5,23,6,0,34,Matches
4,Ali Abdi,tn TUN,DFMF,Nice,fr Ligue 1,31-317,1993,2.8,55,78,70.5,729,252,33,39,84.6,18,25,72.0,1,4,25.0,0,0.4,0.2,-0.4,4,7,3,1,2,Matches
5,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25-221,2000,3.9,145,159,91.2,1975,438,91,98,92.9,45,49,91.8,4,5,80.0,0,0.0,0.1,0.0,0,8,0,0,4,Matches
6,Saud Abdulhamid,sa KSA,DF,Lens,fr Ligue 1,26-107,1999,2.2,98,122,80.3,1474,505,55,59,93.2,37,46,80.4,3,12,25.0,1,0.5,0.8,+0.5,2,4,3,0,13,Matches
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,32-274,1993,9.9,537,617,87.0,10038,2953,208,225,92.4,258,283,91.2,58,82,70.7,0,0.5,0.5,-0.5,8,65,6,1,56,Matches
8,Matthis Abline,fr FRA,FWMF,Nantes,fr Ligue 1,22-219,2003,7.9,88,129,68.2,1372,436,43,63,68.3,34,41,82.9,7,11,63.6,2,1.0,1.3,+1.0,11,12,10,2,22,Matches
9,Abner,br BRA,DF,Lyon,fr Ligue 1,25-159,2000,5.0,183,220,83.2,2948,1211,99,106,93.4,65,78,83.3,16,26,61.5,0,0.2,0.2,-0.2,3,19,7,1,23,Matches
10,Zakaria Aboukhlal,ma MAR,FWMF,Torino,it Serie A,25-257,2000,1.3,17,24,70.8,268,111,10,14,71.4,4,4,100.0,2,3,66.7,0,0.0,0.0,0.0,0,1,1,1,3,Matches
11,Abdel Abqar,ma MAR,DF,Getafe,es La Liga,26-237,1999,4.8,101,141,71.6,2303,676,29,36,80.6,48,54,88.9,21,46,45.7,1,0.2,0.3,+0.8,1,7,0,0,6,Matches
12,Francis Abu,gh GHA,MF,Toulouse,fr Ligue 1,24-189,2001,5.1,161,198,81.3,2413,656,82,97,84.5,67,80,83.8,4,10,40.0,0,0.0,0.1,0.0,1,12,1,0,14,Matches
13,Giorgi Abuashvili,ge GEO,FWDF,Metz,fr Ligue 1,22-267,2003,3.0,93,116,80.2,1577,378,51,54,94.4,34,41,82.9,7,17,41.2,0,0.1,0.4,-0.1,2,8,2,1,9,Matches
14,Francesco Acerbi,it ITA,DF,Inter,it Serie A,37-265,1988,5.9,355,371,95.7,6727,1733,104,109,95.4,224,230,97.4,25,27,92.6,0,0.1,0.4,-0.1,2,18,2,1,23,Matches
