,,,,,,,,,Touches,,,,,,,Take-Ons,,,,,Carries,,,,,,,,Receiving,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
1,Brenden Aaronson,us USA,FWMF,Leeds United,eng Premier League,25-011,2000,7.1,283,6,51,118,119,18,283,15,8,53.3,7,46.7,152,1009,494,16,8,2,20,16,171,37,Matches
2,Jones El-Abdellaoui,ma MAR,MFFW,Celta Vigo,es La Liga,19-294,2006,0.9,42,1,5,14,24,1,42,4,1,25.0,1,25.0,26,240,161,8,3,1,1,1,29,16,Matches
3,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,25-350,1999,4.9,329,9,85,194,55,6,328,15,6,40.0,9,60.0,167,992,613,18,14,0,10,7,231,7,Matches
4,Ali Abdi,tn TUN,DFMF,Nice,fr Ligue 1,31-317,1993,2.8,105,7,33,40,33,3,105,7,3,42.9,3,42.9,45,279,147,6,1,1,4,0,53,10,Matches
5,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25-221,2000,3.9,183,6,47,118,18,2,183,3,1,33.3,2,66.7,111,529,217,2,2,1,4,4,132,3,Matches
6,Saud Abdulhamid,sa KSA,DF,Lens,fr Ligue 1,26-107,1999,2.2,145,4,31,51,63,7,145,5,1,20.0,3,60.0,55,213,104,3,0,1,3,1,87,19,Matches
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,32-274,1993,9.9,687,27,177,418,96,4,687,9,3,33.3,6,66.7,444,1783,970,10,7,1,5,7,518,11,Matches
8,Matthis Abline,fr FRA,FWMF,Nantes,fr Ligue 1,22-219,2003,7.9,238,4,29,96,126,39,237,47,24,51.1,22,46.8,140,1301,787,26,19,13,17,15,161,45,Matches
9,Abner,br BRA,DF,Lyon,fr Ligue 1,25-159,2000,5.0,267,18,92,116,61,12,267,5,2,40.0,3,60.0,139,603,383,9,3,2,2,4,171,14,Matches
10,Zakaria Aboukhlal,ma MAR,FWMF,Torino,it Serie A,25-257,2000,1.3,45,0,5,23,21,6,45,7,2,28.6,4,57.1,29,251,180,6,3,2,5,1,30,3,Matches
11,Abdel Abqar,ma MAR,DF,Getafe,es La Liga,26-237,1999,4.8,208,14,105,95,8,6,208,2,1,50.0,1,50.0,74,374,176,2,0,0,3,1,84,0,Matches
12,Francis Abu,gh GHA,MF,Toulouse,fr Ligue 1,24-189,2001,5.1,254,11,76,143,37,6,254,4,3,75.0,1,25.0,112,382,136,1,2,0,1,4,137,5,Matches
13,Giorgi Abuashvili,ge GEO,FWDF,Metz,fr Ligue 1,22-267,2003,3.0,157,6,32,73,53,5,157,11,3,27.3,8,72.7,89,494,310,10,5,2,3,9,103,16,Matches
14,Francesco Acerbi,it ITA,DF,Inter,it Serie A,37-265,1988,5.9,439,39,187,229,23,4,439,0,0,,0,,203,891,488,6,6,0,5,0,317,0,Matches
15,Ragnar Ache,de GER,FWDF,Köln,de Bundesliga,27-097,1998,2.5,87,10,13,41,34,7,87,3,0,0.0,2,66.7,29,109,43,1,3,0,11,3,61,5,Matches
16,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,19-181,2006,3.9,330,28,133,179,21,4,330,9,8,88.9,0,0.0,241,1151,622,4,5,0,0,3,255,0,Matches
17,Akor Adams,ng NGA,FW,Sevilla,es La Liga,25-277,2000,4.5,111,6,12,44,57,29,111,4,3,75.0,1,25.0,52,266,143,9,3,5,10,4,80,16,Matches
18,Che Adams,sct SCO,FWMF,Torino,it Serie A,29-112,1996,4.2,130,4,14,50,66,17,130,11,6,54.5,5,45.5,77,314,63,2,4,1,10,2,99,23,Matches
19,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,26-261,1999,8.7,533,33,153,315,71,4,533,7,3,42.9,3,42.9,266,1183,567,4,8,0,7,5,291,6,Matches
20,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,24-149,2001,4.2,144,11,24,70,52,18,144,12,5,41.7,5,41.7,67,331,78,2,4,1,21,3,98,23,Matches
21,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,28-039,1997,4.2,405,55,201,197,7,2,405,0,0,,0,,208,899,549,2,1,0,1,0,281,0,Matches
22,Jayden Addai,nl NED,FW,Como,it Serie A,20-068,2005,2.9,104,1,15,45,49,14,104,11,3,27.3,7,63.6,75,641,374,13,7,5,6,13,76,26,Matches
23,Karim Adeyemi,de GER,MFFW,Dortmund,de Bundesliga,23-288,2002,5.3,230,1,18,76,140,35,230,29,13,44.8,15,51.7,155,979,472,17,11,12,23,10,174,53,Matches
24,Simon Adingra,ci CIV,FW,Sunderland,eng Premier League,23-305,2002,3.0,103,3,13,35,55,3,103,9,4,44.4,4,44.4,73,410,201,6,1,1,5,7,77,33,Matches
25,Amine Adli,ma MAR,FWMF,Bournemouth,eng Premier League,25-176,2000,2.1,121,2,27,43,54,6,121,8,3,37.5,5,62.5,64,375,230,5,4,0,4,2,65,19,Matches
26,Vasilije Adžić,me MNE,MF,Juventus,it Serie A,19-174,2006,1.3,85,4,15,39,34,3,85,6,1,16.7,5,83.3,40,173,79,1,1,1,0,2,50,7,Matches
27,Michel Aebischer,ch SUI,MF,Pisa,it Serie A,28-300,1997,7.5,436,23,105,286,48,2,436,4,3,75.0,1,25.0,231,1098,593,11,6,1,7,1,276,6,Matches
28,David Affengruber,at AUT,DF,Elche,es La Liga,24-228,2001,8.4,642,69,288,347,12,3,642,0,0,,0,,346,1801,1074,5,1,1,3,1,410,1,Matches
29,Oladapo Afolayan,eng ENG,MFFW,St. Pauli,de Bundesliga,27-263,1998,1.7,111,3,6,37,70,7,111,13,2,15.4,10,76.9,80,517,242,6,3,3,8,7,101,19,Matches
30,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,28-138,1997,6.2,459,61,215,214,33,5,459,1,1,100.0,0,0.0,255,1266,582,3,7,0,7,2,303,5,Matches
