,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Outcomes,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,25-084,2000,1.0,63,51,12,2,0,0,2,10,0,0,0,0,50,0,1,Matches
2,Max Aarons,eng ENG,MF,Valencia,es La Liga,25-084,2000,0.3,18,14,4,0,0,0,2,4,0,0,0,0,14,0,0,Matches
3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21-321,2003,0.7,29,21,8,0,0,0,1,8,0,0,0,0,17,0,2,Matches
4,James Abankwah,ie IRL,DFMF,Udinese,it Serie A,21-072,2004,1.0,46,45,1,1,0,0,0,0,0,0,0,0,36,0,0,Matches
5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18-358,2006,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
6,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,37-182,1987,10.8,498,456,40,20,0,0,0,1,0,0,0,0,432,2,1,Matches
7,Himad Abdelli,dz ALG,MFFW,Angers,fr Ligue 1,25-132,1999,24.7,1363,1263,92,34,20,8,37,13,8,4,2,0,1126,8,25,Matches
8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,26-056,1999,6.8,332,313,19,15,0,6,0,2,0,0,0,0,291,0,1,Matches
9,Ali Abdi,tn TUN,DFMF,Nice,fr Ligue 1,31-099,1993,10.5,450,368,78,9,0,2,26,69,0,0,0,0,333,4,11,Matches
10,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25-254,1999,2.3,136,103,33,1,0,0,7,32,0,0,0,0,118,0,3,Matches
11,Abel,es ESP,DF,Osasuna,es La Liga,24-220,2000,16.8,766,592,171,9,2,1,62,162,0,0,0,0,549,3,32,Matches
12,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,22-218,2002,2.9,61,58,2,2,0,1,0,0,0,0,0,0,36,1,3,Matches
13,Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28-292,1996,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
14,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,22-001,2003,23.1,399,377,21,1,2,4,26,1,0,0,0,0,272,1,22,Matches
15,Abner,br BRA,DF,Lyon,fr Ligue 1,24-306,2000,10.0,553,469,82,9,1,2,27,67,6,6,0,0,464,2,16,Matches
16,Zakaria Aboukhlal,ma MAR,MFFW,Toulouse,fr Ligue 1,25-039,2000,20.3,335,319,13,1,0,0,31,7,3,2,0,0,212,3,13,Matches
