,,,,,,,,,Touches,,,,,,,Take-Ons,,,,,Carries,,,,,,,,Receiving,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,25-084,2000,1.0,73,2,19,40,15,0,73,2,0,0.0,1,50.0,41,152,68,1,0,0,1,0,40,3,Matches
2,Max Aarons,eng ENG,MF,Valencia,es La Liga,25-084,2000,0.3,24,0,4,4,16,0,24,2,1,50.0,0,0.0,10,28,10,0,0,0,1,1,11,3,Matches
3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21-321,2003,0.7,36,1,8,19,9,1,36,1,1,100.0,0,0.0,13,101,67,3,2,1,0,2,16,3,Matches
4,James Abankwah,ie IRL,DFMF,Udinese,it Serie A,21-072,2004,1.0,65,8,37,22,7,2,65,0,0,,0,,29,219,165,3,1,1,1,3,34,1,Matches
5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18-358,2006,0.0,4,0,3,1,0,0,4,0,0,,0,,1,10,9,1,0,0,1,0,3,0,Matches
6,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,37-182,1987,10.8,630,124,405,213,14,7,630,6,3,50.0,3,50.0,319,1723,837,4,1,0,8,3,390,3,Matches
7,Himad Abdelli,dz ALG,MFFW,Angers,fr Ligue 1,25-132,1999,24.7,1612,22,213,937,492,41,1608,98,44,44.9,52,53.1,946,5987,3399,86,71,16,43,36,1185,94,Matches
8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,26-056,1999,6.8,410,56,199,194,19,1,410,3,1,33.3,2,66.7,200,756,403,2,0,0,2,2,234,3,Matches
9,Ali Abdi,tn TUN,DFMF,Nice,fr Ligue 1,31-099,1993,10.5,584,39,169,232,187,30,584,16,7,43.8,9,56.3,239,1156,648,27,9,8,20,10,321,59,Matches
10,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25-254,1999,2.3,157,0,27,75,56,7,157,8,3,37.5,2,25.0,90,399,175,6,2,2,5,1,108,26,Matches
11,Abel,es ESP,DF,Osasuna,es La Liga,24-220,2000,16.8,944,48,286,432,235,11,944,25,13,52.0,9,36.0,422,2408,1289,38,32,4,19,10,460,61,Matches
12,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,22-218,2002,2.9,87,6,21,56,10,2,87,3,2,66.7,1,33.3,34,148,74,2,0,0,1,1,36,2,Matches
13,Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28-292,1996,0.1,2,0,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
14,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,22-001,2003,23.1,665,25,59,281,340,114,664,74,31,41.9,40,54.1,457,2850,1383,54,32,33,75,49,525,131,Matches
15,Abner,br BRA,DF,Lyon,fr Ligue 1,24-306,2000,10.0,648,32,155,298,197,21,648,10,4,40.0,6,60.0,333,1518,977,24,13,5,12,8,416,51,Matches
