,,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,25-084,2000,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2,Max Aarons,eng ENG,MF,Valencia,es La Liga,25-084,2000,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21-321,2003,1,1,65,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,2,3,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches
4,James Abankwah,ie IRL,DFMF,Udinese,it Serie A,21-072,2004,6,0,88,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,4,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18-358,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
6,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,37-182,1987,12,11,976,10.8,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.4,4,22,3,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
7,Himad Abdelli,dz ALG,MFFW,Angers,fr Ligue 1,25-132,1999,25,25,2222,24.7,6,1,7,3,3,4,3,0,5.6,2.5,2.9,5.4,86,167,94,0.24,0.04,0.28,0.12,0.16,0.23,0.12,0.35,0.10,0.22,Matches
8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,26-056,1999,9,7,609,6.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,26,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
9,Ali Abdi,tn TUN,DFMF,Nice,fr Ligue 1,31-099,1993,18,11,942,10.5,2,2,4,2,0,0,1,0,1.2,1.2,1.4,2.6,27,29,59,0.19,0.19,0.38,0.19,0.38,0.11,0.13,0.24,0.11,0.24,Matches
10,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25-254,1999,4,2,205,2.3,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,6,9,26,0.00,0.44,0.44,0.00,0.44,0.01,0.08,0.09,0.01,0.09,Matches
11,Abel,es ESP,DF,Osasuna,es La Liga,24-220,2000,26,14,1508,16.8,2,0,2,2,0,0,2,0,0.4,0.4,0.8,1.2,38,57,61,0.12,0.00,0.12,0.12,0.12,0.02,0.05,0.07,0.02,0.07,Matches
12,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,22-218,2002,7,4,263,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,2,6,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
13,Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28-292,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
14,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,22-001,2003,26,25,2079,23.1,7,1,8,6,1,1,2,0,7.2,6.4,2.8,9.2,54,36,131,0.30,0.04,0.35,0.26,0.30,0.31,0.12,0.43,0.28,0.40,Matches
15,Abner,br BRA,DF,Lyon,fr Ligue 1,24-306,2000,15,10,904,10.0,1,1,2,1,0,0,1,0,0.2,0.2,1.1,1.3,24,52,51,0.10,0.10,0.20,0.10,0.20,0.02,0.11,0.13,0.02,0.13,Matches
