,,,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,
Rk,Squad,Comp,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
1, Alavés,es La Liga,30,38.0,576,359,296,217,63,185,551,33.6,366,5451,1510,27.7,1750,2544,1157,570,105,4,465,430,1006,1064,9
2, Angers,fr Ligue 1,31,38.0,718,460,337,303,78,238,728,32.7,490,6168,1795,29.1,2101,2848,1219,532,101,0,431,438,1156,855,8
3, Arminia,de Bundesliga,26,34.0,630,394,305,260,65,191,587,32.5,396,5767,1654,28.7,1889,2708,1170,622,131,2,491,303,933,936,9
4, Arsenal,eng Premier League,29,38.0,510,315,242,194,74,175,516,33.9,341,4685,1331,28.4,1499,1897,1289,562,136,1,426,337,847,816,6
5, Aston Villa,eng Premier League,24,38.0,590,358,268,234,88,203,557,36.4,354,5446,1473,27.0,1888,2277,1281,603,178,1,425,377,967,954,12
6, Atalanta,it Serie A,30,38.0,672,425,273,293,106,182,549,33.2,367,5673,1828,32.2,1497,2650,1526,539,93,3,446,501,1173,758,8
7, Athletic Club,es La Liga,27,38.0,523,343,235,227,61,158,551,28.7,393,5247,1450,27.6,1494,2377,1376,553,86,2,467,348,871,897,4
8, Atlético Madrid,es La Liga,25,38.0,704,449,346,267,91,288,671,42.9,383,5124,1540,30.1,1665,2328,1131,579,93,0,486,395,1099,797,3
9, Augsburg,de Bundesliga,25,34.0,579,338,272,244,63,192,544,35.3,352,5110,1524,29.8,1781,2376,953,646,127,3,519,437,1016,1016,12
10, Barcelona,es La Liga,25,38.0,548,351,240,226,82,206,513,40.2,307,5074,1547,30.5,1402,2331,1341,519,82,0,437,354,902,474,11
11, Bayern Munich,de Bundesliga,29,34.0,584,377,215,255,114,189,533,35.5,344,4986,1711,34.3,1244,2216,1526,534,82,0,452,415,999,549,7
12, Benevento,it Serie A,29,38.0,595,363,344,186,65,218,613,35.6,395,5031,1446,28.7,1971,2122,938,551,137,1,414,414,1009,846,13
13, Betis,es La Liga,25,38.0,605,378,289,240,76,196,557,35.2,361,5263,1514,28.8,1619,2495,1149,531,84,2,447,432,1037,855,10
14, Bologna,it Serie A,37,38.0,572,328,305,195,72,171,519,32.9,348,5460,1548,28.4,1944,2242,1274,653,153,2,500,446,1018,862,16
15, Bordeaux,fr Ligue 1,28,38.0,615,413,328,224,63,223,624,35.7,401,5256,1548,29.5,1799,2417,1040,544,134,1,410,438,1053,830,9
16, Brest,fr Ligue 1,26,38.0,697,436,386,258,53,216,580,37.2,364,5858,1659,28.3,2160,2500,1198,539,126,1,413,372,1069,931,8
17, Brighton,eng Premier League,27,38.0,664,415,336,253,75,218,602,36.2,384,5179,1638,31.6,1732,2164,1283,579,121,3,458,395,1059,704,5
18, Burnley,eng Premier League,25,38.0,562,320,267,211,84,201,551,36.5,350,4654,1282,27.5,1381,2041,1232,650,193,5,457,399,961,1035,8
19, Cádiz,es La Liga,34,38.0,611,385,337,218,56,222,623,35.6,401,5263,1433,27.2,2094,2303,866,612,118,4,494,411,1022,950,10
20, Cagliari,it Serie A,32,38.0,629,370,322,239,68,201,573,35.1,372,5752,1552,27.0,2095,2516,1141,574,148,1,426,379,1008,918,9
21, Celta Vigo,es La Liga,30,38.0,703,420,353,280,70,221,688,32.1,467,5997,1701,28.4,2063,2850,1084,610,97,1,513,375,1078,966,9
22, Chelsea,eng Premier League,27,38.0,676,413,302,285,89,210,578,36.3,368,5376,1668,31.0,1692,2388,1296,582,100,1,482,444,1120,830,13
23, Crotone,it Serie A,31,38.0,602,373,333,195,74,198,535,37.0,337,5250,1477,28.1,2035,2191,1024,580,145,1,435,357,959,867,16
24, Crystal Palace,eng Premier League,24,38.0,694,386,383,233,78,251,645,38.9,394,5700,1502,26.4,2314,2378,1008,659,151,2,508,460,1154,893,11
25, Dijon,fr Ligue 1,33,38.0,691,440,380,253,58,250,686,36.4,436,5386,1561,29.0,1889,2517,980,543,125,4,418,509,1200,843,13
26, Dortmund,de Bundesliga,26,34.0,593,411,259,231,103,202,524,38.5,322,4787,1615,33.7,1412,2145,1230,518,110,1,408,401,994,629,7
27, Eibar,es La Liga,30,38.0,573,363,249,236,88,189,564,33.5,375,5005,1599,31.9,1274,2244,1487,552,75,2,477,385,958,963,8
28, Eint Frankfurt,de Bundesliga,25,34.0,664,408,319,254,91,232,659,35.2,427,5437,1696,31.2,1744,2400,1293,573,99,3,474,426,1090,699,10
29, Elche,es La Liga,30,38.0,598,394,346,213,39,193,608,31.7,415,5165,1455,28.2,2067,2226,872,553,111,2,442,388,986,866,8
30, Everton,eng Premier League,29,38.0,684,426,380,232,72,240,653,36.8,413,5660,1604,28.3,2220,2364,1076,669,176,1,493,401,1085,927,11
31, Fiorentina,it Serie A,30,38.0,578,362,297,208,73,218,556,39.2,338,5179,1473,28.4,1814,2248,1117,510,139,1,371,368,946,773,6
32, Freiburg,de Bundesliga,24,34.0,500,298,224,206,70,142,504,28.2,362,5046,1356,26.9,1514,2323,1209,548,130,1,418,387,887,757,9
33, Fulham,eng Premier League,28,38.0,671,415,312,263,96,216,561,38.5,345,5145,1537,29.9,1720,2157,1268,569,114,1,455,499,1170,1063,6
34, Genoa,it Serie A,34,38.0,641,393,338,224,79,214,587,36.5,373,5896,1550,26.3,2161,2538,1197,592,137,1,455,475,1116,981,12
35, Getafe,es La Liga,31,38.0,617,383,260,277,80,198,560,35.4,362,6087,1682,27.6,1606,3057,1424,553,68,4,485,424,1041,1141,6
36, Granada,es La Liga,34,38.0,569,375,278,226,65,190,513,37.0,323,5031,1359,27.0,1618,2347,1066,610,142,5,468,407,976,954,9
37, Hellas Verona,it Serie A,32,38.0,542,338,262,222,58,165,451,36.6,286,4976,1503,30.2,1580,2251,1145,594,169,1,425,463,1005,1015,16
38, Hertha BSC,de Bundesliga,32,34.0,585,352,316,207,62,180,525,34.3,345,5427,1585,29.2,1877,2387,1163,581,97,2,484,409,994,869,16
39, Hoffenheim,de Bundesliga,30,34.0,590,355,278,232,80,201,558,36.0,357,4769,1573,33.0,1429,2120,1220,560,105,5,455,346,936,759,10
40, Huesca,es La Liga,27,38.0,634,402,339,233,62,219,607,36.1,388,5452,1577,28.9,1951,2462,1039,550,103,1,447,348,982,776,6
41, Inter,it Serie A,25,38.0,542,327,249,206,87,178,492,36.2,314,5079,1434,28.2,1648,2069,1362,528,122,1,406,365,907,632,8
42, Juventus,it Serie A,30,38.0,626,395,285,251,90,193,557,34.6,364,5048,1517,30.1,1648,2183,1217,543,129,1,414,370,996,657,7
43, Köln,de Bundesliga,28,34.0,647,382,335,247,65,204,568,35.9,364,5101,1553,30.4,1831,2219,1051,558,113,3,445,427,1074,857,9
44, Lazio,it Serie A,30,38.0,656,395,318,257,81,231,696,33.2,465,5648,1751,31.0,1872,2504,1272,563,102,1,461,423,1079,755,7
45, Leeds United,eng Premier League,23,38.0,825,493,437,297,91,274,798,34.3,524,6658,1971,29.6,2340,2885,1433,577,163,2,414,477,1302,791,13
46, Leicester City,eng Premier League,27,38.0,734,445,347,286,101,227,633,35.9,406,5142,1629,31.7,1797,2214,1131,605,112,3,493,434,1168,844,4
47, Lens,fr Ligue 1,27,38.0,703,404,312,304,87,225,567,39.7,342,4981,1558,31.3,1631,2269,1081,580,106,2,474,460,1163,907,8
48, Levante,es La Liga,29,38.0,572,368,289,215,68,200,602,33.2,402,5355,1498,28.0,1692,2348,1315,538,108,3,430,446,1018,991,13
49, Leverkusen,de Bundesliga,30,34.0,558,342,248,237,73,176,519,33.9,343,4792,1602,33.4,1344,2280,1168,516,98,3,418,377,935,677,5
50, Lille,fr Ligue 1,21,38.0,702,452,304,294,104,247,680,36.3,433,5401,1629,30.2,1489,2518,1394,537,109,1,428,411,1113,798,5
51, Liverpool,eng Premier League,28,38.0,560,358,221,233,106,197,562,35.1,365,5394,1707,31.6,1339,2329,1726,504,77,4,427,385,945,769,21
52, Lorient,fr Ligue 1,27,38.0,803,482,389,342,72,287,828,34.7,541,5681,1642,28.9,1998,2712,971,571,135,2,436,482,1285,927,5
53, Lyon,fr Ligue 1,29,38.0,695,449,297,287,111,229,641,35.7,412,5012,1543,30.8,1465,2237,1310,547,135,4,412,402,1097,758,16
54, M'Gladbach,de Bundesliga,23,34.0,560,346,257,235,68,213,600,35.5,387,4811,1432,29.8,1391,2265,1155,610,133,4,477,455,1015,833,6
55, Mainz 05,de Bundesliga,31,34.0,688,405,329,256,103,208,592,35.1,384,5385,1686,31.3,1727,2411,1247,584,127,2,457,454,1142,941,9
56, Manchester City,eng Premier League,24,38.0,554,365,222,228,104,214,610,35.1,396,4560,1462,32.1,1167,2030,1363,438,97,0,341,339,893,585,6
57, Manchester Utd,eng Premier League,29,38.0,590,371,283,227,80,191,553,34.5,362,5041,1490,29.6,1537,2164,1340,608,135,0,473,455,1045,806,7
58, Marseille,fr Ligue 1,31,38.0,778,468,357,315,106,301,744,40.5,443,5256,1609,30.6,1721,2412,1123,547,118,0,429,427,1205,880,7
59, Metz,fr Ligue 1,27,38.0,770,462,428,275,67,273,724,37.7,451,5416,1658,30.6,1987,2444,985,597,128,5,469,450,1220,1037,13
60, Milan,it Serie A,29,38.0,679,406,345,258,76,257,614,41.9,357,5848,1718,29.4,1928,2655,1265,645,153,4,492,383,1062,816,11
61, Monaco,fr Ligue 1,30,38.0,844,551,358,368,118,272,704,38.6,432,5552,1822,32.8,1526,2717,1309,508,80,0,428,393,1237,730,7
62, Montpellier,fr Ligue 1,25,38.0,646,400,375,209,62,269,740,36.4,471,4838,1420,29.4,1812,2069,957,556,160,3,396,396,1042,849,10
63, Nantes,fr Ligue 1,25,38.0,790,454,399,304,87,297,752,39.5,455,5726,1774,31.0,1928,2653,1145,595,130,5,465,418,1208,957,10
64, Napoli,it Serie A,25,38.0,620,391,299,243,78,218,625,34.9,407,5074,1496,29.5,1608,2109,1357,527,115,1,412,407,1027,633,9
65, Newcastle Utd,eng Premier League,27,38.0,607,363,317,233,57,205,586,35.0,381,5423,1346,24.8,2148,2247,1028,641,173,5,468,415,1022,1038,13
66, Nice,fr Ligue 1,31,38.0,677,425,328,265,84,268,667,40.2,399,5055,1470,29.1,1679,2165,1211,528,132,0,396,380,1057,792,13
67, Nîmes,fr Ligue 1,34,38.0,712,433,354,260,98,279,765,36.5,486,6109,1756,28.7,2127,2742,1240,649,141,0,508,475,1187,896,13
68, Osasuna,es La Liga,28,38.0,569,354,255,236,78,204,536,38.1,332,5329,1550,29.1,1558,2487,1284,557,109,2,448,384,953,1027,3
69, Paris S-G,fr Ligue 1,33,38.0,664,427,255,294,115,249,692,36.0,443,4912,1551,31.6,1265,2138,1509,491,91,1,400,364,1028,567,15
70, Parma,it Serie A,42,38.0,636,369,359,221,56,232,648,35.8,416,5566,1486,26.7,2162,2369,1035,596,127,1,469,430,1066,863,10
71, RB Leipzig,de Bundesliga,25,34.0,586,352,233,265,88,157,482,32.6,325,5271,1778,33.7,1227,2523,1521,503,76,0,427,380,966,676,6
72, Real Madrid,es La Liga,30,38.0,572,353,285,211,76,184,552,33.3,368,4880,1425,29.2,1562,2175,1143,535,100,4,435,406,978,667,9
73, Real Sociedad,es La Liga,30,38.0,560,342,251,235,74,172,529,32.5,357,5070,1487,29.3,1423,2340,1307,497,104,2,393,337,897,859,5
74, Reims,fr Ligue 1,29,38.0,723,432,371,262,90,168,570,29.5,402,5369,1493,27.8,1999,2247,1123,530,134,6,396,438,1161,873,11
75, Rennes,fr Ligue 1,32,38.0,684,455,289,294,101,198,572,34.6,374,5237,1622,31.0,1450,2376,1411,497,94,2,403,340,1024,742,8
76, Roma,it Serie A,31,38.0,558,390,225,257,76,163,568,28.7,405,5570,1599,28.7,1614,2644,1312,499,98,3,401,457,1015,647,12
77, Saint-Étienne,fr Ligue 1,40,38.0,803,496,446,268,89,258,713,36.2,455,5927,1827,30.8,1917,2633,1377,557,105,2,452,447,1250,891,16
78, Sampdoria,it Serie A,27,38.0,637,398,306,262,69,186,598,31.1,412,6173,1763,28.6,1989,2707,1477,662,170,5,492,409,1046,859,10
79, Sassuolo,it Serie A,28,38.0,594,369,301,188,105,197,515,38.3,318,4943,1515,30.6,1571,2027,1345,575,158,2,417,372,966,762,8
80, Schalke 04,de Bundesliga,42,34.0,626,375,326,242,58,196,582,33.7,386,5325,1572,29.5,2032,2328,965,617,160,2,457,467,1093,789,10
81, Sevilla,es La Liga,26,38.0,571,389,253,242,76,200,546,36.6,346,4716,1477,31.3,1392,2199,1125,503,95,3,408,334,905,767,8
