,,,,,SCA,,SCA Types,,,,,,GCA,GCA Types,,,,,,
Rk,Squad,Comp,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
1, Alavés,es La Liga,30,38.0,511,13.45,326,79,24,27,38,17,54,1.42,26,8,4,4,8,4
2, Angers,fr Ligue 1,31,38.0,630,16.58,454,48,44,26,38,20,57,1.50,34,7,4,4,7,1
3, Arminia,de Bundesliga,26,34.0,481,14.15,334,47,34,21,30,15,43,1.26,32,1,3,2,2,3
4, Arsenal,eng Premier League,29,38.0,723,19.03,552,40,41,34,46,10,95,2.50,67,2,7,8,10,1
5, Aston Villa,eng Premier League,24,38.0,839,22.08,601,81,53,39,53,12,86,2.26,61,7,2,6,7,3
6, Atalanta,it Serie A,30,38.0,1028,27.05,787,62,63,53,45,18,153,4.03,118,7,12,8,5,3
7, Athletic Club,es La Liga,27,38.0,658,17.32,493,59,33,20,40,13,77,2.03,56,5,3,5,6,2
8, Atlético Madrid,es La Liga,25,38.0,723,19.03,522,72,48,33,37,11,117,3.08,83,7,9,4,11,3
9, Augsburg,de Bundesliga,25,34.0,493,14.50,328,55,38,19,37,16,52,1.53,34,4,3,4,5,2
10, Barcelona,es La Liga,25,38.0,1011,26.61,786,45,71,32,64,13,125,3.29,96,1,11,9,6,2
11, Bayern Munich,de Bundesliga,29,34.0,940,27.65,739,64,60,40,26,11,167,4.91,129,8,14,8,8,0
12, Benevento,it Serie A,29,38.0,621,16.34,444,63,30,35,34,15,61,1.61,39,7,3,4,5,3
13, Betis,es La Liga,25,38.0,725,19.08,526,61,53,32,40,13,81,2.13,53,9,6,5,8,0
14, Bologna,it Serie A,37,38.0,787,20.71,576,64,42,42,42,21,76,2.00,57,5,1,6,4,3
15, Bordeaux,fr Ligue 1,28,38.0,675,17.76,440,71,58,32,52,22,70,1.84,42,9,6,5,8,0
