,,,,,Performance,,,,,,,,,,,,Aerial Duels,,,
Rk,Squad,Comp,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
1, Alavés,es La Liga,30,38.0,96,8,5,521,492,73,409,430,359,5,2,0,3047,920,690,57.1
2, Angers,fr Ligue 1,31,38.0,65,2,1,463,486,43,401,438,460,6,8,1,3225,490,585,45.6
3, Arminia,de Bundesliga,26,34.0,52,1,0,393,422,53,290,303,394,2,6,1,3165,832,800,51.0
4, Arsenal,eng Premier League,29,38.0,49,5,1,346,402,65,519,337,315,5,2,4,3054,515,606,45.9
5, Aston Villa,eng Premier League,24,38.0,71,4,4,443,556,71,529,377,358,6,6,1,3233,781,735,51.5
6, Atalanta,it Serie A,30,38.0,67,3,1,585,477,57,432,501,425,5,8,1,3702,698,563,55.4
7, Athletic Club,es La Liga,27,38.0,82,3,1,489,484,77,543,348,343,5,6,1,3166,721,632,53.3
8, Atlético Madrid,es La Liga,25,38.0,100,0,0,492,449,98,437,395,449,6,4,3,3149,606,506,54.5
9, Augsburg,de Bundesliga,25,34.0,70,4,3,400,408,73,313,437,338,3,9,3,3072,627,780,44.6
10, Barcelona,es La Liga,25,38.0,72,2,2,361,527,91,411,354,351,6,5,2,2896,418,320,56.6
11, Bayern Munich,de Bundesliga,29,34.0,44,3,0,319,374,76,566,415,377,8,3,0,3235,498,452,52.4
12, Benevento,it Serie A,29,38.0,95,5,2,503,598,63,409,414,363,7,5,6,2892,549,643,46.1
13, Betis,es La Liga,25,38.0,93,8,4,525,486,66,425,432,378,9,9,3,3073,626,653,48.9
14, Bologna,it Serie A,37,38.0,82,4,2,541,483,77,414,446,328,3,9,2,3167,636,615,50.8
15, Bordeaux,fr Ligue 1,28,38.0,78,4,2,472,489,48,373,438,413,3,7,1,2931,588,543,52.0
16, Brest,fr Ligue 1,26,38.0,62,4,1,497,438,63,488,372,436,4,11,2,3027,725,587,55.3
17, Brighton,eng Premier League,27,38.0,49,6,2,430,359,53,474,395,415,7,7,2,3403,553,605,47.8
18, Burnley,eng Premier League,25,38.0,48,0,0,385,390,83,441,399,320,3,3,1,3592,951,898,51.4
19, Cádiz,es La Liga,34,38.0,81,3,2,439,486,59,432,411,385,3,10,1,2962,704,801,46.8
20, Cagliari,it Serie A,32,38.0,77,3,2,520,475,60,496,379,370,4,5,0,3015,693,660,51.2
21, Celta Vigo,es La Liga,30,38.0,109,5,3,634,498,70,361,375,420,7,8,1,3163,621,730,46.0
22, Chelsea,eng Premier League,27,38.0,51,3,1,438,363,80,512,444,413,10,4,1,3216,614,550,52.7
23, Crotone,it Serie A,31,38.0,89,4,2,533,492,59,370,357,373,7,5,2,3016,503,575,46.7
24, Crystal Palace,eng Premier League,24,38.0,56,2,1,410,435,68,345,460,386,2,4,0,3130,734,724,50.3
25, Dijon,fr Ligue 1,33,38.0,76,5,1,521,429,58,319,509,440,4,10,4,3066,562,625,47.3
26, Dortmund,de Bundesliga,26,34.0,44,1,1,365,378,68,400,401,411,6,6,1,3109,486,409,54.3
27, Eibar,es La Liga,30,38.0,71,3,2,501,392,69,614,385,363,5,5,0,4018,951,1006,48.6
28, Eint Frankfurt,de Bundesliga,25,34.0,82,1,1,463,370,70,510,426,408,6,6,2,3427,735,625,54.0
