,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,
Rk,Squad,Comp,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
1, Alavés,es La Liga,30,38.0,10284,14169,72.6,221451,88735,3856,4734,81.5,4231,5262,80.4,2011,3609,55.7,21,25.5,-4.5,245,741,192,75,848
2, Angers,fr Ligue 1,31,38.0,15128,18713,80.8,289965,100913,6448,7190,89.7,6269,7187,87.2,2168,3690,58.8,23,27.4,-4.4,286,956,240,62,1203
3, Arminia,de Bundesliga,26,34.0,10707,14526,73.7,238317,88076,3491,4253,82.1,4832,5841,82.7,2211,3870,57.1,16,22.1,-6.1,224,728,191,45,818
4, Arsenal,eng Premier League,29,38.0,17802,21291,83.6,341180,93564,7057,7896,89.4,8102,8997,90.1,2374,3723,63.8,38,36.6,+1.4,323,1318,340,72,1340
5, Aston Villa,eng Premier League,24,38.0,12779,16556,77.2,263536,95235,4835,5582,86.6,5510,6461,85.3,2174,3848,56.5,38,37.1,+0.9,398,1079,352,79,1236
6, Atalanta,it Serie A,30,38.0,18159,21836,83.2,340271,110674,7682,8623,89.1,7916,8986,88.1,2276,3481,65.4,65,55.8,+9.2,474,1506,519,87,1924
7, Athletic Club,es La Liga,27,38.0,13694,17675,77.5,286035,98184,5068,5984,84.7,5906,6993,84.5,2509,4021,62.4,31,31.1,-0.1,302,1110,298,77,1289
8, Atlético Madrid,es La Liga,25,38.0,16924,20602,82.1,321009,104535,7417,8242,90.0,6740,7741,87.1,2378,3816,62.3,54,37.8,+16.2,339,1260,381,61,1477
9, Augsburg,de Bundesliga,25,34.0,10430,14074,74.1,216254,79244,3848,4588,83.9,4568,5513,82.9,1838,3364,54.6,23,24.5,-1.5,238,669,197,56,883
10, Barcelona,es La Liga,25,38.0,25414,28517,89.1,439762,125458,12038,12965,92.8,10464,11331,92.3,2411,3255,74.1,51,57.4,-6.4,443,1904,552,57,1796
11, Bayern Munich,de Bundesliga,29,34.0,18505,21940,84.3,370450,115232,6924,7782,89.0,8410,9378,89.7,2901,4061,71.4,75,53.3,+21.7,444,1603,471,112,1743
12, Benevento,it Serie A,29,38.0,11710,15299,76.5,233368,82368,4510,5192,86.9,4988,5928,84.1,1906,3461,55.1,26,27.3,-1.3,292,754,294,84,1021
13, Betis,es La Liga,25,38.0,15938,19523,81.6,307041,97650,6750,7518,89.8,6471,7406,87.4,2354,3816,61.7,35,29.9,+5.1,333,1013,314,83,1118
14, Bologna,it Serie A,37,38.0,14811,18456,80.3,286759,100044,5940,6796,87.4,6395,7460,85.7,2174,3481,62.5,38,37.4,+0.6,364,1106,278,61,1316
