,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Height,,,Body Parts,,,,Outcomes,,,,,
Rk,Squad,Comp,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
1, Alavés,es La Liga,30,38.0,14169,12225,1944,600,25,2353,554,409,142,37,63,15,7717,2198,4254,4882,6622,930,801,186,10284,65,342,320,393
2, Angers,fr Ligue 1,31,38.0,18713,16805,1908,555,42,2543,506,401,169,55,78,15,12885,2278,3550,6767,9941,549,820,307,15128,31,287,428,415
3, Arminia,de Bundesliga,26,34.0,14526,12866,1660,494,14,2462,504,290,117,57,37,3,8586,1869,4071,3810,8238,824,716,200,10707,45,321,300,398
4, Arsenal,eng Premier League,29,38.0,21291,19664,1627,441,44,2547,522,519,206,78,69,15,15724,2442,3125,7857,11500,667,668,265,17802,56,315,367,453
5, Aston Villa,eng Premier League,24,38.0,16556,14636,1920,590,18,2765,541,529,212,90,52,21,10098,2410,4048,5957,8163,790,778,234,12779,66,343,377,401
6, Atalanta,it Serie A,30,38.0,21836,20178,1658,510,36,2969,513,432,201,84,79,24,15957,2693,3186,7704,12059,696,687,231,18159,50,271,503,491
7, Athletic Club,es La Liga,27,38.0,17675,15643,2032,560,36,2368,663,543,198,66,65,12,10873,2885,3917,4787,10368,803,923,300,13694,63,389,429,522
8, Atlético Madrid,es La Liga,25,38.0,20602,18827,1775,491,45,2690,586,437,196,56,95,1,14468,2504,3630,5302,13187,718,734,236,16924,84,293,418,448
9, Augsburg,de Bundesliga,25,34.0,14074,12382,1692,501,25,2553,417,313,121,65,37,5,8272,2215,3587,3452,8495,714,686,291,10430,62,317,363,475
10, Barcelona,es La Liga,25,38.0,28517,26827,1690,545,91,3282,439,411,217,65,30,10,23440,2573,2504,10882,15913,516,641,294,25414,82,237,510,498
11, Bayern Munich,de Bundesliga,29,34.0,21940,20228,1712,476,47,2604,653,566,237,104,80,12,15920,2688,3332,7564,12357,670,727,285,18505,64,258,449,469
12, Benevento,it Serie A,29,38.0,15299,13378,1921,688,32,2106,423,409,169,52,86,10,9726,1912,3661,4919,8396,695,656,260,11710,56,272,313,384
13, Betis,es La Liga,25,38.0,19523,17631,1892,599,29,2563,588,425,184,44,79,9,13600,2349,3574,7425,10043,647,770,231,15938,57,324,365,427
14, Bologna,it Serie A,37,38.0,18456,16618,1838,538,40,2190,487,414,201,115,47,14,12476,2488,3492,3987,12286,768,694,283,14811,64,276,411,468
15, Bordeaux,fr Ligue 1,28,38.0,19434,17526,1908,537,26,2642,536,373,175,69,43,27,13888,2255,3291,6144,11196,637,810,223,16031,37,313,360,421
16, Brest,fr Ligue 1,26,38.0,19278,17342,1936,495,27,2453,594,488,179,89,35,13,12932,2600,3746,5306,11693,633,853,241,15584,55,382,381,427
17, Brighton,eng Premier League,27,38.0,19456,17749,1707,404,37,2517,604,474,219,70,103,9,13156,2477,3823,4180,13006,762,766,278,15598,51,386,410,443
18, Burnley,eng Premier League,25,38.0,15043,13300,1743,464,20,2604,530,441,172,140,13,9,7714,2341,4988,4842,7441,1043,715,223,10644,72,347,278,368
19, Cádiz,es La Liga,34,38.0,11925,10005,1920,589,18,1989,490,432,149,51,73,11,5799,2035,4091,2480,7137,717,734,175,8053,51,337,274,397
20, Cagliari,it Serie A,32,38.0,16793,14891,1902,569,14,2178,391,496,170,47,82,15,10769,2276,3748,4056,10651,595,754,275,13160,54,295,376,421
21, Celta Vigo,es La Liga,30,38.0,19156,17301,1855,554,43,2423,483,361,125,37,64,7,13090,2545,3521,5783,11235,692,767,269,15277,65,367,392,453
22, Chelsea,eng Premier League,27,38.0,25151,23492,1659,399,40,2711,624,512,226,81,103,11,19251,2570,3330,5553,17570,703,727,250,21646,67,298,405,502
23, Crotone,it Serie A,31,38.0,17170,15355,1815,599,11,2594,382,370,138,66,20,9,11622,2086,3462,4757,10566,612,619,246,13666,46,295,366,397
