,,,,,,Touches,,,,,,,Dribbles,,,,,Carries,,,,,,,Receiving,,,,
Rk,Squad,Comp,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
1, Alavés,es La Liga,30,42.7,38.0,18391,2289,6566,8801,3937,640,16491,274,477,57.4,302,16,9826,49063,25072,953,280,105,428,351,12990,10284,79.2,914
2, Angers,fr Ligue 1,31,46.2,38.0,23291,2045,7459,11988,5299,654,21424,429,774,55.4,469,22,15042,71788,37242,1454,491,107,508,536,17933,15128,84.4,1262
3, Arminia,de Bundesliga,26,42.2,34.0,18529,2837,7991,7879,3722,576,16925,270,466,57.9,305,26,10490,52324,28300,802,282,74,383,386,13469,10707,79.5,838
4, Arsenal,eng Premier League,29,53.8,38.0,25217,2660,8496,11724,6662,979,23631,303,570,53.2,325,28,17270,91010,51942,2027,533,191,319,361,20487,17802,86.9,1350
5, Aston Villa,eng Premier League,24,48.1,38.0,20985,2696,7056,8919,6192,1060,19152,394,608,64.8,415,19,12344,65238,35018,1414,429,205,443,418,15702,12779,81.4,1279
6, Atalanta,it Serie A,30,54.9,38.0,26478,1943,6889,12811,8433,1304,24879,422,712,59.3,448,31,18202,94212,48906,2258,682,233,523,529,21126,18159,86.0,1936
7, Athletic Club,es La Liga,27,49.8,38.0,21646,2111,6458,10859,5688,766,19688,315,529,59.5,335,26,12942,73017,40524,1568,484,145,398,383,16714,13694,81.9,1349
8, Atlético Madrid,es La Liga,25,52.4,38.0,24797,2122,7261,12558,6275,992,23085,366,603,60.7,395,38,16070,74449,39926,1683,435,152,402,406,19677,16924,86.0,1509
9, Augsburg,de Bundesliga,25,41.3,34.0,18443,2706,7802,8144,3614,565,16794,326,560,58.2,349,18,10523,56513,29044,917,300,73,456,386,13347,10430,78.1,917
10, Barcelona,es La Liga,25,65.8,38.0,32311,2524,7938,15985,10509,1378,30715,505,786,64.2,538,33,23667,113680,63392,2831,850,263,366,389,27982,25414,90.8,1808
11, Bayern Munich,de Bundesliga,29,61.1,34.0,26026,2032,7020,12889,7855,1322,24380,480,733,65.5,512,34,17702,93890,50318,2187,603,198,542,441,21312,18505,86.8,1796
12, Benevento,it Serie A,29,42.3,38.0,19432,2586,7411,8796,4407,776,17591,230,406,56.7,251,18,11277,62711,33333,1156,363,101,413,350,14392,11710,81.4,1050
13, Betis,es La Liga,25,53.9,38.0,23809,2272,7125,11884,6099,879,21983,359,584,61.5,384,25,15482,75009,39380,1673,513,157,467,467,18509,15938,86.1,1155
14, Bologna,it Serie A,37,50.9,38.0,22952,2934,7788,10696,5924,868,21155,374,648,57.7,410,19,14216,78654,41287,1552,506,166,439,435,17599,14811,84.2,1340
15, Bordeaux,fr Ligue 1,28,49.7,38.0,23804,2538,8314,12189,4746,652,21948,421,733,57.4,452,20,15696,79459,41770,1540,404,126,493,491,18641,16031,86.0,1025
16, Brest,fr Ligue 1,26,49.3,38.0,23580,2902,8829,10744,5586,794,21702,396,636,62.3,417,24,15145,79202,44314,1486,505,120,472,373,18221,15584,85.5,1289
17, Brighton,eng Premier League,27,51.3,38.0,23519,2703,8395,10204,6485,1020,21874,344,547,62.9,371,17,15362,84064,44546,1667,546,135,433,406,18583,15598,83.9,1265
18, Burnley,eng Premier League,25,41.7,38.0,19236,2320,6089,9006,5107,748,17531,249,420,59.3,269,18,10026,49692,23754,948,342,81,406,335,13976,10644,76.2,975
19, Cádiz,es La Liga,34,34.3,38.0,16108,2247,5912,7405,3627,490,14221,325,513,63.4,354,30,8147,43974,23896,888,282,72,443,352,10838,8053,74.3,688
20, Cagliari,it Serie A,32,44.6,38.0,21080,2587,7323,9905,5278,773,19234,342,554,61.7,365,20,12760,71435,39407,1414,508,101,418,421,16041,13160,82.0,1108
21, Celta Vigo,es La Liga,30,53.7,38.0,23389,2659,8346,11512,4873,656,21615,285,491,58.0,311,17,14615,70937,37596,1396,449,101,396,340,18118,15277,84.3,1158
22, Chelsea,eng Premier League,27,61.4,38.0,29564,2703,9251,14400,7810,1131,27953,368,643,57.2,393,33,19875,99591,56260,2265,679,246,444,422,24517,21646,88.3,1555
23, Crotone,it Serie A,31,46.4,38.0,21410,3150,8547,9861,4283,648,19662,355,601,59.1,380,22,13300,68851,36657,1248,389,104,498,447,16272,13666,84.0,1116
24, Crystal Palace,eng Premier League,24,40.1,38.0,19661,2331,7027,9078,4735,706,17884,373,637,58.6,401,21,11234,57886,29995,1211,394,134,425,513,14235,11391,80.0,984
25, Dijon,fr Ligue 1,33,46.2,38.0,22256,2722,8585,10902,4245,576,20399,433,693,62.5,462,19,13530,68648,36551,1297,367,82,512,520,17003,14134,83.1,1070
26, Dortmund,de Bundesliga,26,59.8,34.0,26221,2316,7835,13231,6970,1125,24710,459,746,61.5,489,37,18425,96143,51294,2093,615,202,419,374,21600,18983,87.9,1553
27, Eibar,es La Liga,30,49.6,38.0,20968,1910,5646,10272,6105,769,18966,349,566,61.7,379,24,11782,60643,29506,1246,385,101,518,398,15288,11903,77.9,1122
28, Eint Frankfurt,de Bundesliga,25,54.0,34.0,22459,2435,7177,11079,5621,864,20795,323,534,60.5,349,25,13534,72038,39272,1630,491,163,443,417,17451,14409,82.6,1448
29, Elche,es La Liga,30,47.6,38.0,21030,2763,8370,10166,3731,448,19255,379,656,57.8,407,37,13221,65650,34067,1190,339,73,506,413,16090,13601,84.5,809
30, Everton,eng Premier League,29,46.5,38.0,22718,2922,8747,10503,4941,700,21133,341,586,58.2,363,30,13795,76593,41361,1388,411,114,430,449,17418,14670,84.2,1081
31, Fiorentina,it Serie A,30,46.2,38.0,21197,2300,6428,10437,5657,737,19347,321,541,59.3,342,22,13554,72472,38371,1507,474,119,420,536,16122,13589,84.3,1156
32, Freiburg,de Bundesliga,24,47.0,34.0,19679,2621,7788,8639,4521,695,18052,263,462,56.9,285,14,11882,62484,33150,1003,335,107,394,332,14984,12336,82.3,1102
33, Fulham,eng Premier League,28,49.9,38.0,23627,2640,8285,10981,5883,822,21923,498,762,65.4,524,35,14934,80620,43245,1613,509,133,587,472,18034,15183,84.2,1169
34, Genoa,it Serie A,34,44.7,38.0,22141,2850,8121,10620,4603,618,20407,277,524,52.9,293,20,13617,65947,34830,1279,391,103,482,383,16888,14014,83.0,1010
35, Getafe,es La Liga,31,42.8,38.0,17826,1729,4861,8187,5644,718,15815,250,459,54.5,272,24,9315,48829,25692,1103,362,103,476,422,11887,9016,75.8,1045
