,,,,,Standard,,,,,,,,,,,Expected,,,,,
Rk,Squad,Comp,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1, Alavés,es La Liga,30,38.0,35,337,99,29.4,8.87,2.61,0.09,0.30,16.9,11,5,8,42.4,36.5,0.11,-7.4,-6.5
2, Angers,fr Ligue 1,31,38.0,39,399,137,34.3,10.50,3.61,0.09,0.25,18.6,19,5,6,41.8,37.2,0.09,-2.8,-3.2
3, Arminia,de Bundesliga,26,34.0,23,329,100,30.4,9.68,2.94,0.07,0.22,17.7,14,1,2,30.7,29.2,0.09,-7.7,-7.2
4, Arsenal,eng Premier League,29,38.0,53,455,141,31.0,11.97,3.71,0.10,0.33,16.9,23,6,6,53.5,49.0,0.11,-0.5,-2.0
5, Aston Villa,eng Premier League,24,38.0,52,518,179,34.6,13.63,4.71,0.09,0.26,16.5,15,5,6,52.9,48.5,0.10,-0.9,-1.5
6, Atalanta,it Serie A,30,38.0,89,614,225,36.6,16.16,5.92,0.14,0.37,16.0,26,6,7,77.1,71.9,0.12,+11.9,+11.1
7, Athletic Club,es La Liga,27,38.0,43,404,133,32.9,10.63,3.50,0.10,0.29,17.1,15,4,5,44.4,40.7,0.10,-1.4,-1.7
8, Atlético Madrid,es La Liga,25,38.0,65,452,179,39.6,11.89,4.71,0.13,0.34,17.3,13,5,7,52.4,46.8,0.10,+12.6,+13.2
9, Augsburg,de Bundesliga,25,34.0,35,335,108,32.2,9.85,3.18,0.10,0.31,17.7,11,2,5,36.1,32.3,0.10,-1.1,+0.7
10, Barcelona,es La Liga,25,38.0,80,573,228,39.8,15.08,6.00,0.13,0.33,16.6,43,4,8,78.9,72.6,0.13,+1.1,+3.4
11, Bayern Munich,de Bundesliga,29,34.0,98,569,220,38.7,16.74,6.47,0.16,0.40,16.1,9,9,10,75.8,68.2,0.12,+22.2,+20.8
12, Benevento,it Serie A,29,38.0,40,411,130,31.6,10.82,3.42,0.09,0.27,16.9,15,5,7,41.6,36.2,0.09,-1.6,-1.2
