,,,,,,Playing Time,,,,Performance,,,,,,,Per 90 Minutes,,,,,Expected,,,Per 90 Minutes,,,,,
Rk,Squad,Comp,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
1, Alavés,es La Liga,30,28.7,42.7,38,418,3420,38.0,35,21,30,5,8,96,8,0.92,0.55,1.47,0.79,1.34,42.4,36.5,25.5,62.0,1.12,0.67,1.79,0.96,1.63
2, Angers,fr Ligue 1,31,27.9,46.2,38,418,3420,38.0,39,23,34,5,6,65,2,1.03,0.61,1.63,0.89,1.50,41.8,37.2,27.4,64.6,1.10,0.72,1.82,0.98,1.70
3, Arminia,de Bundesliga,26,26.0,42.2,34,374,3060,34.0,23,16,22,1,2,52,1,0.68,0.47,1.15,0.65,1.12,30.7,29.2,22.1,51.3,0.90,0.65,1.55,0.86,1.51
4, Arsenal,eng Premier League,29,25.9,53.8,38,418,3420,38.0,53,38,47,6,6,49,5,1.39,1.00,2.39,1.24,2.24,53.5,49.0,36.6,85.5,1.41,0.96,2.37,1.29,2.25
5, Aston Villa,eng Premier League,24,25.2,48.1,38,418,3420,38.0,52,38,47,5,6,71,4,1.37,1.00,2.37,1.24,2.24,52.9,48.5,37.1,85.6,1.39,0.98,2.37,1.28,2.25
6, Atalanta,it Serie A,30,27.3,54.9,38,418,3420,38.0,89,65,83,6,7,67,3,2.34,1.71,4.05,2.18,3.89,77.1,71.9,55.8,127.6,2.03,1.47,3.50,1.89,3.36
7, Athletic Club,es La Liga,27,26.6,49.8,38,418,3420,38.0,43,31,39,4,5,82,3,1.13,0.82,1.95,1.03,1.84,44.4,40.7,31.1,71.8,1.17,0.82,1.99,1.07,1.89
8, Atlético Madrid,es La Liga,25,27.3,52.4,38,418,3420,38.0,65,54,60,5,7,100,0,1.71,1.42,3.13,1.58,3.00,52.4,46.8,37.8,84.6,1.38,0.99,2.37,1.23,2.23
9, Augsburg,de Bundesliga,25,27.0,41.3,34,374,3060,34.0,35,23,33,2,5,70,4,1.03,0.68,1.71,0.97,1.65,36.1,32.3,24.5,56.9,1.06,0.72,1.78,0.95,1.67
10, Barcelona,es La Liga,25,26.4,65.8,38,418,3420,38.0,80,51,76,4,8,72,2,2.11,1.34,3.45,2.00,3.34,78.9,72.6,57.4,130.0,2.08,1.51,3.59,1.91,3.42
11, Bayern Munich,de Bundesliga,29,27.3,61.1,34,374,3060,34.0,98,75,89,9,10,44,3,2.88,2.21,5.09,2.62,4.82,75.8,68.2,53.3,121.5,2.23,1.57,3.80,2.01,3.57
12, Benevento,it Serie A,29,28.7,42.3,38,418,3420,38.0,40,26,35,5,7,95,5,1.05,0.68,1.74,0.92,1.61,41.6,36.2,27.3,63.5,1.10,0.72,1.81,0.95,1.67
13, Betis,es La Liga,25,27.9,53.9,38,418,3420,38.0,50,35,42,8,11,93,8,1.32,0.92,2.24,1.11,2.03,46.0,37.8,29.9,67.7,1.21,0.79,2.00,1.00,1.78
14, Bologna,it Serie A,37,27.2,50.9,38,418,3420,38.0,49,38,46,3,4,82,4,1.29,1.00,2.29,1.21,2.21,53.4,50.5,37.4,87.9,1.41,0.98,2.39,1.33,2.31
15, Bordeaux,fr Ligue 1,28,27.6,49.7,38,418,3420,38.0,41,32,37,4,4,78,4,1.08,0.84,1.92,0.97,1.82,41.9,38.9,30.2,69.1,1.10,0.80,1.90,1.02,1.82
16, Brest,fr Ligue 1,26,24.9,49.3,38,418,3420,38.0,47,31,44,3,4,62,4,1.24,0.82,2.05,1.16,1.97,47.5,44.4,33.7,78.2,1.25,0.89,2.14,1.17,2.06
17, Brighton,eng Premier League,27,25.8,51.3,38,418,3420,38.0,39,24,33,6,9,49,6,1.03,0.63,1.66,0.87,1.50,51.6,44.8,33.0,77.8,1.36,0.87,2.23,1.18,2.05
18, Burnley,eng Premier League,25,28.3,41.7,38,418,3420,38.0,32,20,29,3,3,48,0,0.84,0.53,1.37,0.76,1.29,39.9,37.6,27.1,64.8,1.05,0.71,1.76,0.99,1.70
19, Cádiz,es La Liga,34,28.8,34.3,38,418,3420,38.0,33,16,29,4,4,81,3,0.87,0.42,1.29,0.76,1.18,34.0,31.0,19.0,50.0,0.89,0.50,1.39,0.82,1.31
20, Cagliari,it Serie A,32,26.5,44.6,38,418,3420,38.0,43,30,39,4,5,77,3,1.13,0.79,1.92,1.03,1.82,45.5,41.8,30.6,72.4,1.20,0.81,2.00,1.10,1.91
21, Celta Vigo,es La Liga,30,26.6,53.7,38,418,3420,38.0,55,39,48,7,7,109,5,1.45,1.03,2.47,1.26,2.29,47.7,42.4,33.2,75.6,1.25,0.87,2.13,1.11,1.99
22, Chelsea,eng Premier League,27,26.0,61.4,38,418,3420,38.0,56,38,48,8,10,51,3,1.47,1.00,2.47,1.26,2.26,64.0,56.4,42.4,98.8,1.68,1.12,2.80,1.48,2.60
23, Crotone,it Serie A,31,27.8,46.4,38,418,3420,38.0,44,27,35,9,9,89,4,1.16,0.71,1.87,0.92,1.63,38.5,31.8,24.5,56.3,1.01,0.64,1.66,0.84,1.48
24, Crystal Palace,eng Premier League,24,29.1,40.1,38,418,3420,38.0,39,29,36,3,4,56,2,1.03,0.76,1.79,0.95,1.71,32.4,29.5,20.9,50.4,0.85,0.55,1.40,0.78,1.33
25, Dijon,fr Ligue 1,33,25.7,46.2,38,418,3420,38.0,25,15,22,3,5,76,5,0.66,0.39,1.05,0.58,0.97,31.5,27.7,20.3,48.0,0.83,0.53,1.36,0.73,1.26
26, Dortmund,de Bundesliga,26,25.6,59.8,34,374,3060,34.0,74,57,71,3,7,44,1,2.18,1.68,3.85,2.09,3.76,68.6,62.9,51.0,113.9,2.02,1.50,3.52,1.85,3.35
27, Eibar,es La Liga,30,28.2,49.6,38,418,3420,38.0,29,20,25,4,9,71,3,0.76,0.53,1.29,0.66,1.18,41.5,34.7,26.2,60.8,1.09,0.69,1.78,0.91,1.60
28, Eint Frankfurt,de Bundesliga,25,27.2,54.0,34,374,3060,34.0,63,52,55,8,8,82,1,1.85,1.53,3.38,1.62,3.15,56.1,50.0,43.1,93.1,1.65,1.27,2.92,1.47,2.74
29, Elche,es La Liga,30,28.1,47.6,38,418,3420,38.0,33,25,31,2,3,99,3,0.87,0.66,1.53,0.82,1.47,30.5,28.2,21.9,50.1,0.80,0.58,1.38,0.74,1.32
30, Everton,eng Premier League,29,26.3,46.5,38,418,3420,38.0,45,32,41,4,5,59,2,1.18,0.84,2.03,1.08,1.92,47.2,43.5,32.9,76.4,1.24,0.87,2.11,1.14,2.01
31, Fiorentina,it Serie A,30,26.6,46.2,38,418,3420,38.0,44,31,38,6,6,86,5,1.16,0.82,1.97,1.00,1.82,45.2,40.7,30.5,71.2,1.19,0.80,1.99,1.07,1.87
32, Freiburg,de Bundesliga,24,26.2,47.0,34,374,3060,34.0,51,34,45,6,6,62,0,1.50,1.00,2.50,1.32,2.32,46.2,41.7,29.2,70.9,1.36,0.86,2.22,1.23,2.09
33, Fulham,eng Premier League,28,25.2,49.9,38,418,3420,38.0,26,18,23,3,6,67,3,0.68,0.47,1.16,0.61,1.08,41.3,36.8,27.8,64.6,1.09,0.73,1.82,0.97,1.70
34, Genoa,it Serie A,34,28.3,44.7,38,418,3420,38.0,46,32,42,4,4,87,2,1.21,0.84,2.05,1.11,1.95,37.8,34.8,25.1,59.9,0.99,0.66,1.66,0.92,1.58
35, Getafe,es La Liga,31,26.7,42.8,38,418,3420,38.0,27,14,24,3,5,120,7,0.71,0.37,1.08,0.63,1.00,32.7,28.9,20.3,49.2,0.86,0.53,1.39,0.76,1.29
36, Granada,es La Liga,34,27.4,41.0,38,418,3420,38.0,46,30,43,3,5,97,6,1.21,0.79,2.00,1.13,1.92,39.4,35.8,23.8,59.5,1.04,0.63,1.66,0.94,1.57
37, Hellas Verona,it Serie A,32,26.2,49.8,38,418,3420,38.0,38,30,35,3,3,91,1,1.00,0.79,1.79,0.92,1.71,43.5,41.3,31.1,72.4,1.15,0.82,1.97,1.09,1.91
38, Hertha BSC,de Bundesliga,32,25.4,49.4,34,374,3060,34.0,40,29,36,4,6,67,3,1.18,0.85,2.03,1.06,1.91,42.4,37.9,29.8,67.7,1.25,0.88,2.13,1.11,1.99
39, Hoffenheim,de Bundesliga,30,25.7,51.1,34,374,3060,34.0,51,38,46,5,6,68,4,1.50,1.12,2.62,1.35,2.47,51.8,47.3,35.9,83.2,1.52,1.06,2.58,1.39,2.45
40, Huesca,es La Liga,27,28.0,48.3,38,418,3420,38.0,32,23,29,3,4,69,2,0.84,0.61,1.45,0.76,1.37,35.3,32.5,23.8,56.2,0.93,0.63,1.55,0.85,1.48
41, Inter,it Serie A,25,27.7,52.4,38,418,3420,38.0,84,62,76,8,9,61,2,2.21,1.63,3.84,2.00,3.63,74.8,68.0,53.4,121.4,1.97,1.40,3.37,1.79,3.19
42, Juventus,it Serie A,30,27.7,57.1,38,418,3420,38.0,76,59,68,8,10,80,6,2.00,1.55,3.55,1.79,3.34,74.2,66.7,51.4,118.1,1.95,1.35,3.30,1.76,3.11
43, Köln,de Bundesliga,28,24.9,46.3,36,374,3060,34.0,33,23,29,4,6,63,1,0.97,0.68,1.65,0.85,1.53,39.1,34.7,24.6,59.3,1.15,0.72,1.88,1.02,1.74
44, Lazio,it Serie A,30,29.4,53.1,38,418,3420,38.0,59,40,53,6,10,107,5,1.55,1.05,2.61,1.39,2.45,59.8,52.4,40.2,92.7,1.57,1.06,2.63,1.38,2.44
45, Leeds United,eng Premier League,23,26.1,57.6,38,418,3420,38.0,60,45,56,4,4,61,1,1.58,1.18,2.76,1.47,2.66,57.5,54.5,42.5,97.0,1.51,1.12,2.63,1.43,2.55
46, Leicester City,eng Premier League,27,26.5,54.6,38,418,3420,38.0,64,45,54,10,12,61,0,1.68,1.18,2.87,1.42,2.61,56.0,46.9,33.1,80.0,1.47,0.87,2.35,1.23,2.11
47, Lens,fr Ligue 1,27,26.4,51.4,38,418,3420,38.0,53,35,43,10,12,94,7,1.39,0.92,2.32,1.13,2.05,56.0,46.9,34.7,81.6,1.47,0.91,2.39,1.23,2.15
48, Levante,es La Liga,29,28.0,52.4,38,418,3420,38.0,45,35,42,3,6,68,1,1.18,0.92,2.11,1.11,2.03,41.0,36.4,28.5,64.9,1.08,0.75,1.83,0.96,1.71
49, Leverkusen,de Bundesliga,30,25.4,59.9,34,374,3060,34.0,52,41,49,3,3,58,0,1.53,1.21,2.74,1.44,2.65,47.2,45.0,33.8,78.8,1.39,0.99,2.38,1.32,2.32
50, Lille,fr Ligue 1,21,25.4,53.9,38,418,3420,38.0,62,39,57,5,5,68,2,1.63,1.03,2.66,1.50,2.53,50.0,46.2,36.1,82.4,1.32,0.95,2.27,1.22,2.17
51, Liverpool,eng Premier League,28,26.8,62.4,38,418,3420,38.0,65,43,59,6,6,40,0,1.71,1.13,2.84,1.55,2.68,72.6,68.1,50.0,118.1,1.91,1.32,3.23,1.79,3.11
